"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","BS_Final","EvictionDate","EvictionStatus"
"RRF006","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,"DarlingBrew",1,"Sub",705,"Helper",2022-07-02,"DarlingBrew","Breeder",2022-03-08,"Evictor"
"RRF010","F",2020-08-22,"RuRu",2022-01-18,2022-02-15,"DarlingBrew",1,"Sub",514,"Helper",NA,NA,"NonBreeder",2022-03-08,"Evictee"
"GOM004","M",2015-12-10,"Goodall",2022-02-15,2022-02-15,"DarlingBrew",1,"Sub",2259,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"VGF001","F",2017-04-21,"RuRu",2022-01-18,2022-02-15,"Licher",2,"Queen",1733,"Breeder",2022-06-10,"LCT001","Breeder",2022-04-28,"Evictee"
"RRF004","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,"Licher",2,"Queen",705,"Helper",2022-07-31,"Licher","Breeder",2022-04-28,"Evictor"
"ARM003","M",2015-02-28,"Kori",2021-12-13,2022-02-15,"Licher",2,"Queen",2480,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"CUF012","F",2016-01-04,"Curie",2022-01-18,2022-02-15,"Trolls",3,"Sub",2206,"Helper",NA,NA,"NonBreeder",2022-02-16,"Evictee"
"CUF031","F",2018-02-03,"Curie",2022-01-18,2022-02-15,"Trolls",3,"Sub",1445,"Helper",2022-05-23,"Trolls","Breeder",2022-02-16,"Evictor"
"VIM011","M",2017-04-05,"Virunga",2022-02-15,2022-02-15,"Trolls",3,"Sub",1777,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"COF014","F",2017-03-03,"Kori",2022-01-18,2022-02-15,"Tusker",4,"Queen",1782,"Breeder",2022-05-14,"Tusker","Breeder",NA,"InGroup"
"KBF006","F",2020-08-28,"Kori",2022-01-18,2022-02-15,"Tusker",4,"Queen",508,"Helper",2022-05-23,"Tusker","Breeder",NA,"InGroup"
"DVM009","M",2016-05-26,"RuRu",2021-12-23,2022-02-15,"Tusker",4,"Queen",2037,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"Z3F043","F",2017-01-06,"The Maags",2022-03-31,2022-04-28,"BlackLabel",5,"Queen",1910,"Breeder",2022-10-20,"BLT001","Breeder",2022-09-27,"Evictee"
"TMF002","F",2020-03-22,"The Maags",2022-03-31,2022-04-28,"BlackLabel",5,"Queen",739,"Helper",2022-12-26,"BlackLabel","Breeder",2022-09-27,"Evictor"
"DVM010","M",2016-05-26,"DaVinci",2022-03-14,2022-04-28,"BlackLabel",5,"Queen",2118,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"WAF041","F",2020-02-21,"Watson",2022-03-31,2022-04-28,"BlueMoon",6,"Sub",769,"Helper",2022-08-04,"BlueMoon","Breeder",2022-05-01,"Evictor"
"WAF045","F",2020-09-07,"Watson",2022-03-31,2022-04-28,"BlueMoon",6,"Sub",570,"Helper",NA,NA,"NonBreeder",2022-05-01,"Evictee"
"COM009","M",2016-11-15,"The Maags",2022-01-13,2022-04-28,"BlueMoon",6,"Sub",1885,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"WEF005","F",2016-04-22,"PlakaPlaka",2022-03-31,2022-04-28,"Chouffe",7,"Queen",2169,"Breeder",NA,NA,"NonBreeder",2022-04-29,"Evictee"
"PPF008","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,"Chouffe",7,"Queen",740,"Helper",2022-09-16,"Chouffe","Breeder",2022-04-29,"Evictor"
"DVM006","M",2016-01-03,"DaVinci",2022-03-14,2022-04-28,"Chouffe",7,"Queen",2262,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"PPF007","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,"Delirium",8,"Sub",740,"Helper",2022-08-06,"Delirium","Breeder",2022-04-29,"Evictor"
"PPF009","F",2020-08-11,"PlakaPlaka",2022-03-31,2022-04-28,"Delirium",8,"Sub",597,"Helper",NA,NA,"NonBreeder",2022-04-29,"Evictee"
"ARF028","F",2017-06-15,"Shorny",2022-05-06,2022-06-03,"Corbeau",9,"Queen",1786,"Breeder",2022-09-09,"Corbeau","Breeder",2023-01-16,"Evictee"
"SOF001","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,"Corbeau",9,"Queen",818,"Helper",NA,NA,"NonBreeder",2023-01-16,"Evictor"
"PPM004","M",2019-08-03,"PlakaPlaka",2022-03-14,2022-06-03,"Corbeau",9,"Queen",954,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"SOF002","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,"Firestone",10,"Sub",818,"Helper",NA,NA,"NonBreeder",2022-06-07,"Evictee"
"SOF006","F",2020-07-14,"Shorny",2022-05-06,2022-06-03,"Firestone",10,"Sub",661,"Helper",NA,NA,"NonBreeder",2022-06-07,"Evictor"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2022-06-03,"Firestone",10,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2022-06-03,"Firestone",10,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRF015","F",2017-07-28,"Roms",2022-05-06,2022-06-03,"Guinness",11,"Queen",1743,"Breeder",2022-10-02,"Guinness","Breeder",2022-10-14,"Evictee"
"RSF008","F",2020-07-23,"Roms",2022-05-06,2022-06-03,"Guinness",11,"Queen",652,"Helper",NA,NA,"NonBreeder",2022-10-14,"Evictor"
"BEM007","M",2014-11-09,"Shorny",2022-03-03,2022-06-03,"Guinness",11,"Queen",2671,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"GOF035","F",2020-02-22,"Goodall",2022-05-06,2022-06-03,"Hoodoo",12,"Sub",804,"Helper",2022-09-07,"Hoodoo","Breeder",2022-06-08,"Evictor"
"GOF040","F",2020-10-09,"Goodall",2022-05-06,2022-06-03,"Hoodoo",12,"Sub",574,"Helper",NA,NA,"NonBreeder",2022-06-08,"Evictee"
"LAM015","M",2017-04-22,"Roms",2022-03-03,2022-06-03,"Hoodoo",12,"Sub",1776,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2022-06-03,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2022-06-03,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"WAF002","F",2013-11-23,"DaVinci",2022-07-18,2022-08-15,"Angol",14,"Queen",3159,"Breeder",2022-11-24,"Angol","Breeder",2022-08-16,"Evictor"
"DVF047","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,"Angol",14,"Queen",1314,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee"
"MIM003","M",2019-04-29,"Milou",2022-04-04,2022-08-15,"Angol",14,"Queen",1071,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DVF048","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,"DevilsPeak",15,"Sub",1314,"Helper",2022-12-11,"DevilsPeak","Breeder",NA,"InGroup"
"DVF061","F",2020-01-31,"DaVinci",2022-07-18,2022-08-15,"DevilsPeak",15,"Sub",899,"Helper",NA,NA,"NonBreeder",NA,"InGroup"
"G10M033","M",2015-04-07,"Milou",2022-04-04,2022-08-15,"DevilsPeak",15,"Sub",2554,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"MIF012","F",2020-07-18,"Milou",2022-07-18,2022-08-15,"DjuDju",16,"Sub",730,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee"
"MIF016","F",2020-11-08,"Milou",2022-07-18,2022-08-15,"DjuDju",16,"Sub",617,"Helper",2022-11-23,"DjuDju","Breeder",2022-08-16,"Evictor"
"DVM021","M",2017-01-19,"DaVinci",2022-04-04,2022-08-15,"DjuDju",16,"Sub",1901,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"TSF048","F",2017-08-22,"Milou",2022-07-18,2022-08-15,"Stella",17,"Queen",1791,"Breeder",2022-11-17,"Stella","Breeder",2022-08-16,"Evictor"
