"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","EvictionCategory"
"RRF006","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,2023-03-29,2023-03-29,"DarlingBrew",1,"Sub",705,"Helper",2022-07-02,"DarlingBrew",2022-04-05,"Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,49,28,137,116,"Early"
"RRF010","F",2020-08-22,"RuRu",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"DarlingBrew",1,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Early"
"GOM004","M",2015-12-10,"Goodall",2022-02-15,2022-02-15,2023-03-29,2023-03-29,"DarlingBrew",1,"Sub",2259,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"VGF001","F",2017-04-21,"RuRu",2022-01-18,2022-02-15,2023-06-20,2023-06-20,"Licher",2,"Queen",1733,"Breeder",2022-06-10,"LCT001",2022-03-14,"Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,27,-45,115,43,"Late"
"RRF004","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,2023-05-04,2023-05-04,"Licher",2,"Queen",705,"Helper",2022-07-31,"Licher",2022-05-04,"Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,78,6,166,94,"Late"
"ARM003","M",2015-02-28,"Kori",2021-12-13,2022-02-15,2023-05-04,2023-05-04,"Licher",2,"Queen",2480,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",64,NA,NA,NA,NA,NA,NA
"CUF012","F",2016-01-04,"Curie",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"Trolls",3,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early"
"CUF031","F",2018-02-03,"Curie",2022-01-18,2022-02-15,2023-03-29,2023-03-29,"Trolls",3,"Sub",1445,"Helper",2022-05-23,"Trolls",2022-02-24,"Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,9,8,97,96,"Early"
"VIM011","M",2017-04-05,"Virunga",2022-02-15,2022-02-15,2023-03-29,2023-03-29,"Trolls",3,"Sub",1777,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"COF014","F",2017-03-03,"Kori",2022-01-18,2022-02-15,NA,2024-02-06,"Tusker",4,"Queen",1782,"Breeder",2022-05-14,"Tusker",2022-02-15,"Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,0,NA,88,NA,NA
