"AnimalID","StartDate","Sex","BirthDate","PairingDate","ExperimentalGroup","OriginalGroup","KingRemovalDate","OriginalGroup_LastParturitionDate","IsolationDate","DeathDate","LastDate","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCConceptionDate","FirstDCParturitionDate","FirstDCParturitionColony","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","FirstConceptionPairingDayDiff","FirstConceptionEvictionDayDiff","FirstParturitionPairingDayDiff","FirstParturitionEvictionDayDiff","Eviction_Cat"
"ARM003",2021-12-13,"M",2015-02-28,2022-02-15,"Licher","Kori",NA,NA,2021-12-13,2023-05-04,2023-05-04,1,"Queen",2480,"Breeder",NA,NA,NA,"Breeder",2022-04-28,"InGroup","NotConceived",NA,"Breeder","InGroup",64,72,NA,NA,NA,NA,"Slow"
"DVM009",2021-12-23,"M",2016-05-26,2022-02-15,"Tusker","RuRu",NA,NA,2021-12-23,NA,2024-03-20,2,"Queen",2037,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",54,NA,NA,NA,NA,NA,"None"
"VGF001",2021-12-30,"F",2017-04-21,2022-02-15,"Licher","RuRu",NA,2021-12-23,2022-01-18,2023-06-20,2023-06-20,1,"Queen",1733,"Breeder",2022-03-17,2022-06-10,"LCT001","Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,30,-42,115,43,"Slow"
"RRF004",2021-12-30,"F",2020-02-13,2022-02-15,"Licher","RuRu",NA,NA,2022-01-18,2023-05-04,2023-05-04,1,"Queen",705,"Helper",2022-05-07,2022-07-31,"Licher","Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,81,9,166,94,"Slow"
"COF014",2021-12-30,"F",2017-03-03,2022-02-15,"Tusker","Kori",NA,2021-12-12,2022-01-18,NA,2024-03-20,2,"Queen",1782,"Breeder",2022-02-18,2022-05-14,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,3,NA,88,NA,"None"
"KBF006",2021-12-30,"F",2020-08-28,2022-02-15,"Tusker","Kori",NA,NA,2022-01-18,NA,2024-03-20,2,"Queen",508,"Helper",2022-02-27,2022-05-23,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,12,NA,97,NA,"None"
"COM009",2022-01-13,"M",2016-11-15,2022-04-28,"BlueMoon","The Maags",NA,NA,2022-01-13,2023-03-29,2023-03-29,3,"Sub",1885,"Breeder",NA,NA,NA,"Breeder",2022-05-01,"InGroup","NotConceived",NA,"Breeder","InGroup",105,3,NA,NA,NA,NA,"Rapid"
"RRF006",2022-01-18,"F",2020-02-13,2022-02-15,"DarlingBrew","RuRu",NA,NA,2022-01-18,2023-03-29,2023-03-29,4,"Sub",705,"Helper",2022-04-08,2022-07-02,"DarlingBrew","Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,52,31,137,116,"Rapid"
"RRF010",2022-01-18,"F",2020-08-22,2022-02-15,"DarlingBrew","RuRu",NA,NA,2022-01-18,2023-02-27,2023-02-27,4,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Rapid"
"CUF012",2022-01-18,"F",2016-01-04,2022-02-15,"Trolls","Curie",NA,NA,2022-01-18,2023-02-27,2023-02-27,5,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"CUF031",2022-01-18,"F",2018-02-03,2022-02-15,"Trolls","Curie",NA,NA,2022-01-18,2023-03-29,2023-03-29,5,"Sub",1445,"Helper",2022-02-27,2022-05-23,"Trolls","Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,97,96,"Rapid"
"GOM004",2022-02-15,"M",2015-12-10,2022-02-15,"DarlingBrew","Goodall",NA,NA,2022-02-15,2023-03-29,2023-03-29,4,"Sub",2259,"Breeder",NA,NA,NA,"Breeder",2022-03-08,"InGroup","NotConceived",NA,"Breeder","InGroup",0,21,NA,NA,NA,NA,"Rapid"
"VIM011",2022-02-15,"M",2017-04-05,2022-02-15,"Trolls","Virunga",NA,NA,2022-02-15,2023-03-29,2023-03-29,5,"Sub",1777,"Breeder",NA,NA,NA,"Breeder",2022-02-16,"InGroup","NotConceived",NA,"Breeder","InGroup",0,1,NA,NA,NA,NA,"Rapid"
