"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","BS_Final","EvictionDate","EvictionStatus","BS_Original2","EvictionStatus2","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"RRF006","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,"DarlingBrew",1,"Sub",705,"Helper",2022-07-02,"DarlingBrew","Breeder",2022-03-08,"Evictor","Helper","Evictor","Sub_S","RRF010",514,191,"Older"
"RRF010","F",2020-08-22,"RuRu",2022-01-18,2022-02-15,"DarlingBrew",1,"Sub",514,"Helper",NA,NA,"NonBreeder",2022-03-08,"Evictee","Helper","Evictee","Sub_S","RRF006",705,-191,"Younger"
"VGF001","F",2017-04-21,"RuRu",2022-01-18,2022-02-15,"Licher",2,"Queen",1733,"Breeder",2022-06-10,"LCT001","Breeder",2022-04-28,"Evictee","Breeder","Evictee","Breeder","RRF004",705,1028,"Older"
"RRF004","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,"Licher",2,"Queen",705,"Helper",2022-07-31,"Licher","Breeder",2022-04-28,"Evictor","Helper","Evictor","Sub_Q","VGF001",1733,-1028,"Younger"
"CUF012","F",2016-01-04,"Curie",2022-01-18,2022-02-15,"Trolls",3,"Sub",2206,"Helper",NA,NA,"NonBreeder",2022-02-16,"Evictee","Helper","Evictee","Sub_S","CUF031",1445,761,"Older"
"CUF031","F",2018-02-03,"Curie",2022-01-18,2022-02-15,"Trolls",3,"Sub",1445,"Helper",2022-05-23,"Trolls","Breeder",2022-02-16,"Evictor","Helper","Evictor","Sub_S","CUF012",2206,-761,"Younger"
"COF014","F",2017-03-03,"Kori",2022-01-18,2022-02-15,"Tusker",4,"Queen",1782,"Breeder",2022-05-14,"Tusker","Breeder",NA,"InGroup","Breeder","InGroup","Breeder","KBF006",508,1274,"Older"
"KBF006","F",2020-08-28,"Kori",2022-01-18,2022-02-15,"Tusker",4,"Queen",508,"Helper",2022-05-23,"Tusker","Breeder",NA,"InGroup","Helper","InGroup","Sub_Q","COF014",1782,-1274,"Younger"
"Z3F043","F",2017-01-06,"The Maags",2022-03-31,2022-04-28,"BlackLabel",5,"Queen",1910,"Breeder",2022-10-20,"BLT001","Breeder",2022-09-27,"Evictee","Breeder","Evictee","Breeder","TMF002",739,1171,"Older"
"TMF002","F",2020-03-22,"The Maags",2022-03-31,2022-04-28,"BlackLabel",5,"Queen",739,"Helper",2022-12-26,"BlackLabel","Breeder",2022-09-27,"Evictor","Helper","Evictor","Sub_Q","Z3F043",1910,-1171,"Younger"
