"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","EvictionCategory","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"RRF006","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,NA,2023-05-02,"DarlingBrew",1,"Sub",705,"Helper",2022-07-02,"DarlingBrew",2022-04-05,"Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,49,28,137,116,"Early","Sub_S","RRF010",514,191,"Older"
"RRF010","F",2020-08-22,"RuRu",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"DarlingBrew",1,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Early","Sub_S","RRF006",705,-191,"Younger"
"VGF001","F",2017-04-21,"RuRu",2022-01-18,2022-02-15,NA,2023-05-02,"Licher",2,"Queen",1733,"Breeder",2022-06-10,"LCT001",2022-03-14,"Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,27,-45,115,43,"Late","Breeder","RRF004",705,1028,"Older"
"RRF004","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,NA,2023-05-02,"Licher",2,"Queen",705,"Helper",2022-07-31,"Licher",2022-05-04,"Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,78,6,166,94,"Late","Sub_Q","VGF001",1733,-1028,"Younger"
"CUF012","F",2016-01-04,"Curie",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"Trolls",3,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early","Sub_S","CUF031",1445,761,"Older"
"CUF031","F",2018-02-03,"Curie",2022-01-18,2022-02-15,NA,2023-05-02,"Trolls",3,"Sub",1445,"Helper",2022-05-23,"Trolls",2022-02-24,"Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,9,8,97,96,"Early","Sub_S","CUF012",2206,-761,"Younger"
"COF014","F",2017-03-03,"Kori",2022-01-18,2022-02-15,NA,2023-05-02,"Tusker",4,"Queen",1782,"Breeder",2022-05-14,"Tusker",2022-02-15,"Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,0,NA,88,NA,NA,"Breeder","KBF006",508,1274,"Older"
"KBF006","F",2020-08-28,"Kori",2022-01-18,2022-02-15,NA,2023-05-02,"Tusker",4,"Queen",508,"Helper",2022-05-23,"Tusker",2022-02-24,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,9,NA,97,NA,NA,"Sub_Q","COF014",1782,-1274,"Younger"
"Z3F043","F",2017-01-06,"The Maags",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlackLabel",5,"Queen",1910,"Breeder",2022-10-20,"BLT001",2022-07-24,"Breeder",2022-09-27,"Evictee","Conceived","ThirdTrimester","Breeder","Evictee",28,152,87,-65,175,23,"Late","Breeder","TMF002",739,1171,"Older"
"TMF002","F",2020-03-22,"The Maags",2022-03-31,2022-04-28,NA,2023-05-02,"BlackLabel",5,"Queen",739,"Helper",2022-12-26,"BlackLabel",2022-09-29,"Breeder",2022-09-27,"Evictor","NotConceived","Conception","Helper","Evictor",28,152,154,2,242,90,"Late","Sub_Q","Z3F043",1910,-1171,"Younger"
"WAF041","F",2020-02-21,"Watson",2022-03-31,2022-04-28,NA,2023-05-02,"BlueMoon",6,"Sub",769,"Helper",2022-08-04,"BlueMoon",2022-05-08,"Breeder",2022-05-01,"Evictor","NotConceived","Conception","Helper","Evictor",28,3,10,7,98,95,"Early","Sub_S","WAF045",570,199,"Older"
"WAF045","F",2020-09-07,"Watson",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlueMoon",6,"Sub",570,"Helper",NA,NA,NA,"NonBreeder",2022-05-01,"Evictee","NotConceived",NA,"Helper","Evictee",28,3,NA,NA,NA,NA,"Early","Sub_S","WAF041",769,-199,"Younger"
"WEF005","F",2016-04-22,"PlakaPlaka",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"Chouffe",7,"Queen",2169,"Breeder",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Breeder","Evictee",28,1,NA,NA,NA,NA,"Early","Breeder","PPF008",740,1429,"Older"
"PPF008","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,NA,2023-05-02,"Chouffe",7,"Queen",740,"Helper",2022-09-16,"Chouffe",2022-06-20,"Breeder",2022-04-29,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,1,53,52,141,140,"Early","Sub_Q","WEF005",2169,-1429,"Younger"
"PPF007","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,NA,2023-05-02,"Delirium",8,"Sub",740,"Helper",2022-08-06,"Delirium",2022-05-10,"Breeder",2022-04-29,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Early","Sub_S","PPF009",597,143,"Older"
"PPF009","F",2020-08-11,"PlakaPlaka",2022-03-31,2022-04-28,2022-06-16,2022-06-16,"Delirium",8,"Sub",597,"Helper",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early","Sub_S","PPF007",740,-143,"Younger"
"ARF028","F",2017-06-15,"Shorny",2022-05-06,2022-06-03,2023-01-17,2023-01-17,"Corbeau",9,"Queen",1786,"Breeder",2022-09-09,"Corbeau",2022-06-13,"Breeder",2023-01-16,"Evictee","Conceived",NA,"Breeder","Evictee",28,227,10,-217,98,-129,"Late","Breeder","SOF001",818,968,"Older"
"SOF001","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,NA,2023-05-02,"Corbeau",9,"Queen",818,"Helper",NA,NA,NA,"NonBreeder",2023-01-16,"Evictor","NotConceived",NA,"Helper","Evictor",28,227,NA,NA,NA,NA,"Late","Sub_Q","ARF028",1786,-968,"Younger"
"SOF002","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Firestone",10,"Sub",818,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictee","NotConceived",NA,"Helper","Evictee",28,4,NA,NA,NA,NA,"Early","Sub_S","SOF006",661,157,"Older"
"SOF006","F",2020-07-14,"Shorny",2022-05-06,2022-06-03,2022-12-20,2022-12-20,"Firestone",10,"Sub",661,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictor","NotConceived",NA,"Helper","Evictor",28,4,NA,NA,NA,NA,"Early","Sub_S","SOF002",818,-157,"Younger"
"DRF015","F",2017-07-28,"Roms",2022-05-06,2022-06-03,NA,2023-05-02,"Guinness",11,"Queen",1743,"Breeder",2022-10-02,"Guinness",2022-07-06,"Breeder",2022-10-14,"Evictee","Conceived",NA,"Breeder","Evictee",28,133,33,-100,121,-12,"Late","Breeder","RSF008",652,1091,"Older"
"RSF008","F",2020-07-23,"Roms",2022-05-06,2022-06-03,NA,2023-05-02,"Guinness",11,"Queen",652,"Helper",NA,NA,NA,"NonBreeder",2022-10-14,"Evictor","NotConceived",NA,"Helper","Evictor",28,133,NA,NA,NA,NA,"Late","Sub_Q","DRF015",1743,-1091,"Younger"
"GOF035","F",2020-02-22,"Goodall",2022-05-06,2022-06-03,NA,2023-05-02,"Hoodoo",12,"Sub",804,"Helper",2022-09-07,"Hoodoo",2022-06-11,"Breeder",2022-06-08,"Evictor","NotConceived","Conception","Helper","Evictor",28,5,8,3,96,91,"Early","Sub_S","GOF040",574,230,"Older"
"GOF040","F",2020-10-09,"Goodall",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Hoodoo",12,"Sub",574,"Helper",NA,NA,NA,"NonBreeder",2022-06-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,5,NA,NA,NA,NA,"Early","Sub_S","GOF035",804,-230,"Younger"
"WAF002","F",2013-11-23,"DaVinci",2022-07-18,2022-08-15,NA,2023-05-02,"Angol",14,"Queen",3159,"Breeder",2022-11-24,"Angol",2022-08-28,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,13,12,101,100,"Early","Breeder","DVF047",1314,1845,"Older"
"DVF047","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Angol",14,"Queen",1314,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early","Sub_Q","WAF002",3159,-1845,"Younger"
"DVF048","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,NA,2023-05-02,"DevilsPeak",15,"Sub",1314,"Helper",2022-12-11,"DevilsPeak",2022-09-14,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,30,NA,118,NA,NA,"Sub_S","DVF061",899,415,"Older"
"DVF061","F",2020-01-31,"DaVinci",2022-07-18,2022-08-15,NA,2023-05-02,"DevilsPeak",15,"Sub",899,"Helper",NA,NA,NA,"NonBreeder",NA,"InGroup","NotConceived",NA,"Helper","InGroup",28,NA,NA,NA,NA,NA,NA,"Sub_S","DVF048",1314,-415,"Younger"
"MIF012","F",2020-07-18,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"DjuDju",16,"Sub",730,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early","Sub_S","MIF016",617,113,"Older"
"MIF016","F",2020-11-08,"Milou",2022-07-18,2022-08-15,NA,2023-05-02,"DjuDju",16,"Sub",617,"Helper",2022-11-23,"DjuDju",2022-08-27,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Early","Sub_S","MIF012",730,-113,"Younger"
"TSF048","F",2017-08-22,"Milou",2022-07-18,2022-08-15,NA,2023-05-02,"Stella",17,"Queen",1791,"Breeder",2022-11-17,"Stella",2022-08-21,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,6,5,94,93,"Early","Breeder","MIF008",882,909,"Older"
"MIF008","F",2020-02-17,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Stella",17,"Queen",882,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early","Sub_Q","TSF048",1791,-909,"Younger"
