"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","Eviction_Cat","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"RRF006","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,2023-03-29,2023-03-29,"DarlingBrew",1,"Sub",705,"Helper",2022-07-02,"DarlingBrew",2022-04-05,"Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,49,28,137,116,"Rapid","Sub_S","RRF010",514,191,"Older"
"RRF010","F",2020-08-22,"RuRu",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"DarlingBrew",1,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Rapid","Sub_S","RRF006",705,-191,"Younger"
"VGF001","F",2017-04-21,"RuRu",2022-01-18,2022-02-15,2023-06-20,2023-06-20,"Licher",2,"Queen",1733,"Breeder",2022-06-10,"LCT001",2022-03-14,"Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,27,-45,115,43,"Slow","Breeder","RRF004",705,1028,"Older"
"RRF004","F",2020-02-13,"RuRu",2022-01-18,2022-02-15,2023-05-04,2023-05-04,"Licher",2,"Queen",705,"Helper",2022-07-31,"Licher",2022-05-04,"Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,78,6,166,94,"Slow","Sub_Q","VGF001",1733,-1028,"Younger"
"CUF012","F",2016-01-04,"Curie",2022-01-18,2022-02-15,2023-02-27,2023-02-27,"Trolls",3,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","CUF031",1445,761,"Older"
"CUF031","F",2018-02-03,"Curie",2022-01-18,2022-02-15,2023-03-29,2023-03-29,"Trolls",3,"Sub",1445,"Helper",2022-05-23,"Trolls",2022-02-24,"Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,9,8,97,96,"Rapid","Sub_S","CUF012",2206,-761,"Younger"
"COF014","F",2017-03-03,"Kori",2022-01-18,2022-02-15,NA,2024-02-12,"Tusker",4,"Queen",1782,"Breeder",2022-05-14,"Tusker",2022-02-15,"Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,0,NA,88,NA,"None","Breeder","KBF006",508,1274,"Older"
"KBF006","F",2020-08-28,"Kori",2022-01-18,2022-02-15,NA,2024-02-12,"Tusker",4,"Queen",508,"Helper",2022-05-23,"Tusker",2022-02-24,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,9,NA,97,NA,"None","Sub_Q","COF014",1782,-1274,"Younger"
"Z3F043","F",2017-01-06,"The Maags",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlackLabel",5,"Queen",1910,"Breeder",2022-10-20,"BLT001",2022-07-24,"Breeder",2022-09-27,"Evictee","Conceived","ThirdTrimester","Breeder","Evictee",28,152,87,-65,175,23,"Slow","Breeder","TMF002",739,1171,"Older"
"TMF002","F",2020-03-22,"The Maags",2022-03-31,2022-04-28,2023-12-02,2023-12-02,"BlackLabel",5,"Queen",739,"Helper",2022-12-26,"BlackLabel",2022-09-29,"Breeder",2022-09-27,"Evictor","NotConceived","Conception","Helper","Evictor",28,152,154,2,242,90,"Slow","Sub_Q","Z3F043",1910,-1171,"Younger"
