"AnimalID","StartDate","Sex","BirthDate","PairingDate","ExperimentalGroup","OriginalGroup","IsolationDate","DeathDate","LastDate","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCConceptionDate","FirstDCParturitionDate","FirstDCParturitionColony","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","FirstConceptionPairingDayDiff","FirstConceptionEvictionDayDiff","FirstParturitionPairingDayDiff","FirstParturitionEvictionDayDiff","Eviction_Cat","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"RRF006",2022-01-18,"F",2020-02-13,2022-02-15,"DarlingBrew","RuRu",2022-01-18,2023-03-29,2023-03-29,1,"Sub",705,"Helper",2022-04-08,2022-07-02,"DarlingBrew","Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,52,31,137,116,"Rapid","Sub_S","RRF010",514,191,"Older"
"RRF010",2022-01-18,"F",2020-08-22,2022-02-15,"DarlingBrew","RuRu",2022-01-18,2023-02-27,2023-02-27,1,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Rapid","Sub_S","RRF006",705,-191,"Younger"
"VGF001",2021-12-30,"F",2017-04-21,2022-02-15,"Licher","RuRu",2022-01-18,2023-06-20,2023-06-20,2,"Queen",1733,"Breeder",2022-03-17,2022-06-10,"LCT001","Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,30,-42,115,43,"Slow","Breeder","RRF004",705,1028,"Older"
"RRF004",2021-12-30,"F",2020-02-13,2022-02-15,"Licher","RuRu",2022-01-18,2023-05-04,2023-05-04,2,"Queen",705,"Helper",2022-05-07,2022-07-31,"Licher","Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,81,9,166,94,"Slow","Sub_Q","VGF001",1733,-1028,"Younger"
"CUF012",2022-01-18,"F",2016-01-04,2022-02-15,"Trolls","Curie",2022-01-18,2023-02-27,2023-02-27,3,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","CUF031",1445,761,"Older"
"CUF031",2022-01-18,"F",2018-02-03,2022-02-15,"Trolls","Curie",2022-01-18,2023-03-29,2023-03-29,3,"Sub",1445,"Helper",2022-02-27,2022-05-23,"Trolls","Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,97,96,"Rapid","Sub_S","CUF012",2206,-761,"Younger"
"COF014",2021-12-30,"F",2017-03-03,2022-02-15,"Tusker","Kori",2022-01-18,NA,2024-03-14,4,"Queen",1782,"Breeder",2022-02-18,2022-05-14,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,3,NA,88,NA,"None","Breeder","KBF006",508,1274,"Older"
"KBF006",2021-12-30,"F",2020-08-28,2022-02-15,"Tusker","Kori",2022-01-18,NA,2024-03-14,4,"Queen",508,"Helper",2022-02-27,2022-05-23,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,12,NA,97,NA,"None","Sub_Q","COF014",1782,-1274,"Younger"
"Z3F043",2022-03-31,"F",2017-01-06,2022-04-28,"BlackLabel","The Maags",2022-03-31,2023-02-27,2023-02-27,5,"Queen",1910,"Breeder",2022-07-27,2022-10-20,"BLT001","Breeder",2022-09-27,"Evictee","Conceived","ThirdTrimester","Breeder","Evictee",28,152,90,-62,175,23,"Slow","Breeder","TMF002",739,1171,"Older"
"TMF002",2022-03-31,"F",2020-03-22,2022-04-28,"BlackLabel","The Maags",2022-03-31,2023-12-02,2023-12-02,5,"Queen",739,"Helper",2022-10-02,2022-12-26,"BlackLabel","Breeder",2022-09-27,"Evictor","NotConceived","Conception","Helper","Evictor",28,152,157,5,242,90,"Slow","Sub_Q","Z3F043",1910,-1171,"Younger"
