"ExperimentalGroup","Treatment","IsolationDate","PairingDate","EvictionDate","EvictionStatus_Group","BreederCount","Earliest_FirstParturitionDate","Latest_FirstParturitionDate"
"DarlingBrew","Sub",2022-01-18,2022-02-15,2022-03-08,"Eviction",1,2022-07-02,NA
"Licher","Queen",2022-01-18,2022-02-15,2022-04-28,"Eviction",2,2022-06-10,2022-07-31
"Trolls","Sub",2022-01-18,2022-02-15,2022-02-16,"Eviction",1,2022-05-23,NA
"Tusker","Queen",2022-01-18,2022-02-15,NA,"NoEviction",2,2022-05-14,2022-05-23
"BlackLabel","Queen",2022-03-31,2022-04-28,2022-09-27,"Eviction",2,2022-10-20,2022-12-26
"BlueMoon","Sub",2022-03-31,2022-04-28,2022-05-01,"Eviction",1,2022-08-04,NA
"Chouffe","Queen",2022-03-31,2022-04-28,2022-04-29,"Eviction",1,2022-09-16,NA
"Delirium","Sub",2022-03-31,2022-04-28,2022-04-29,"Eviction",1,2022-08-06,NA
"Corbeau","Queen",2022-05-06,2022-06-03,2023-01-16,"Eviction",1,2022-09-09,NA
"Firestone","Sub",2022-05-06,2022-06-03,2022-06-07,"Eviction",0,NA,NA
"Guinness","Queen",2022-05-06,2022-06-03,2022-10-14,"Eviction",1,2022-10-02,NA
"Hoodoo","Sub",2022-05-06,2022-06-03,2022-06-08,"Eviction",1,2022-09-07,NA
"Angol","Queen",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,2022-11-24,NA
"DevilsPeak","Sub",2022-07-18,2022-08-15,NA,"NoEviction",1,2022-12-11,NA
"DjuDju","Sub",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,2022-11-23,NA
"Stella","Queen",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,2022-11-17,NA
"Bitburger","Queen",2023-02-03,2023-03-02,2023-03-04,"Eviction",0,NA,NA
"Corona","Queen",2023-02-03,2023-03-02,2023-03-03,"Eviction",0,NA,NA
"GhostShip","Sub",2023-02-03,2023-03-02,2023-03-10,"Eviction",0,NA,NA
"Kasteel","Sub",2023-02-03,2023-03-02,2023-03-08,"Eviction",0,NA,NA
"WicklowWolf","Queen",2023-02-03,2023-03-02,NA,"NoEviction",0,NA,NA
