"Sampling_Cat","ExperimentalGroup","Treatment","IsolationDate","PairingDate","EvictionDate","Group_EarlierFirstConceptionDate","Group_LaterFirstConceptionDate","Group_EarlierFirstParturitionDate","Group_LaterFirstParturitionDate","EvictionPairingDayDiff","Group_EarlierFirstConceptionPairing_DayDiff","Group_LaterFirstConceptionPairing_DayDiff","Group_EarlierFirstParturitionPairing_DayDiff","Group_LaterFirstParturitionPairing_DayDiff","Group_EvictionStatus","EvictionCategory","BreederCount","CoBreeding"
"Rapid_PreFirst","DarlingBrew","Sub",2022-01-18,2022-02-15,2022-03-08,2022-04-05,NA,2022-07-02,NA,21,49,NA,NA,NA,"Eviction","Rapid",1,1
"Slow_Conc","Licher","Queen",2022-01-18,2022-02-15,2022-04-28,2022-03-14,2022-05-04,2022-06-10,2022-07-31,72,27,78,166,166,"Eviction","Slow",2,1
"Rapid_Conc","Trolls","Sub",2022-01-18,2022-02-15,2022-02-16,2022-02-24,NA,2022-05-23,NA,1,9,NA,NA,NA,"Eviction","Rapid",1,1
"NoEviction","Tusker","Queen",2022-01-18,2022-02-15,NA,2022-02-15,2022-02-24,2022-05-14,2022-05-23,NA,0,9,97,97,"NoEviction","Rapid",2,2
"Slow_Conc","BlackLabel","Queen",2022-03-31,2022-04-28,2022-09-27,2022-07-24,2022-09-29,2022-10-20,2022-12-26,152,87,154,242,242,"Eviction","Slow",2,1
"Rapid_Conc","BlueMoon","Sub",2022-03-31,2022-04-28,2022-05-01,2022-05-08,NA,2022-08-04,NA,3,10,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_PreFirst","Chouffe","Queen",2022-03-31,2022-04-28,2022-04-29,2022-06-20,NA,2022-09-16,NA,1,53,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","Delirium","Sub",2022-03-31,2022-04-28,2022-04-29,2022-05-10,NA,2022-08-06,NA,1,12,NA,NA,NA,"Eviction","Rapid",1,1
"Slow_PreFirst","Corbeau","Queen",2022-05-06,2022-06-03,2023-01-16,2022-06-13,2023-02-26,2022-09-09,2023-05-25,227,10,268,356,356,"Eviction","Slow",2,2
"Rapid_PreFirst","Firestone","Sub",2022-05-06,2022-06-03,2022-06-07,2022-09-25,NA,2022-12-22,NA,4,114,NA,NA,NA,"Eviction","Rapid",1,1
"Slow_PreFirst","Guinness","Queen",2022-05-06,2022-06-03,2022-10-14,2022-07-06,2023-02-10,2022-10-02,2023-05-09,133,33,252,340,340,"Eviction","Slow",2,2
"Rapid_Conc","Hoodoo","Sub",2022-05-06,2022-06-03,2022-06-08,2022-06-11,NA,2022-09-07,NA,5,8,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","Angol","Queen",2022-07-18,2022-08-15,2022-08-16,2022-08-28,NA,2022-11-24,NA,1,13,NA,NA,NA,"Eviction","Rapid",1,1
"NoEviction","DevilsPeak","Sub",2022-07-18,2022-08-15,NA,2022-09-14,2023-08-03,2022-12-11,2023-10-30,NA,30,353,441,441,"NoEviction","Rapid",2,2
"Rapid_Conc","DjuDju","Sub",2022-07-18,2022-08-15,2022-08-16,2022-08-27,NA,2022-11-23,NA,1,12,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","Stella","Queen",2022-07-18,2022-08-15,2022-08-16,2022-08-21,NA,2022-11-17,NA,1,6,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_PreFirst","Bitburger","Queen",2023-02-03,2023-03-02,2023-03-04,2023-04-17,2023-06-07,2023-07-14,2023-09-03,2,46,97,185,185,"Eviction","Rapid",2,1
"Rapid_Conc","Corona","Queen",2023-02-03,2023-03-02,2023-03-03,2023-03-16,NA,2023-06-12,NA,1,14,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","GhostShip","Sub",2023-02-03,2023-03-02,2023-03-10,2023-03-09,NA,2023-06-05,NA,8,7,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","Kasteel","Sub",2023-02-03,2023-03-02,2023-03-08,2023-03-16,NA,2023-06-12,NA,6,14,NA,NA,NA,"Eviction","Rapid",1,1
"Slow_None","WicklowWolf","Queen",2023-02-03,2023-03-02,2023-09-28,2023-03-08,NA,2023-06-04,NA,210,6,NA,NA,NA,"Eviction","Slow",1,1
"Rapid_Conc","Asahi","Sub",2023-04-07,2023-05-10,2023-05-10,2023-05-20,NA,2023-08-16,NA,0,10,NA,NA,NA,"Eviction","Rapid",1,1
"Rapid_Conc","Featherstone","Sub",2023-04-07,2023-05-10,2023-05-14,2023-05-19,NA,2023-08-15,NA,4,9,NA,NA,NA,"Eviction","Rapid",1,1
"Slow_Conc","Leffe","Queen",2023-04-07,2023-05-10,2023-08-12,2023-05-13,2023-08-19,2023-08-09,2023-11-15,94,3,101,189,189,"Eviction","Slow",2,2
"NoEviction","Lion","Sub",2023-04-07,2023-05-10,NA,2023-05-18,2023-08-11,2023-08-14,2023-11-07,NA,8,93,181,181,"NoEviction","Rapid",2,2
