"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-03,30791,NA,1.1,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-09,30869,NA,0.7,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-13,30914,NA,0.4,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-18,30970,NA,0.8,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-18,30970,NA,0.8,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-22,31023,NA,0.9,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-24,31040,NA,0.6,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-27,31076,NA,1,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-01-30,31101,NA,1.5,2022-07-02,"DarlingBrew"
"DarlingBrew","RRF006","F","Sub","Helper","Evictor",2022-01-18,28,2022-02-15,2022-03-08,21,"PreFirstConception","Early",2022-07-02,2022-02-02,31135,NA,0.6,2022-07-02,"DarlingBrew"
