"Sampling_Cat","ExperimentalGroup","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount","NextParturition_ParturitionDayDiff","GestationStatus_Trimester","UrineDate","UrineNumber","DOP"
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,-15,-43,-64,-95,1,-180,"PreFirstConception",2022-01-03,30791,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,-9,-37,-58,-89,1,-174,"PreFirstConception",2022-01-09,30869,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,-5,-33,-54,-85,1,-170,"PreFirstConception",2022-01-13,30914,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,0,-28,-49,-80,1,-165,"PreFirstConception",2022-01-18,30970,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,4,-24,-45,-76,1,-161,"PreFirstConception",2022-01-22,31023,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,6,-22,-43,-74,1,-159,"PreFirstConception",2022-01-24,31040,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,9,-19,-40,-71,1,-156,"PreFirstConception",2022-01-27,31076,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,12,-16,-37,-68,1,-153,"PreFirstConception",2022-01-30,31101,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,15,-13,-34,-65,1,-150,"PreFirstConception",2022-02-02,31135,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,18,-10,-31,-62,1,-147,"PreFirstConception",2022-02-05,31160,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,20,-8,-29,-60,1,-145,"PreFirstConception",2022-02-07,31178,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,23,-5,-26,-57,1,-142,"PreFirstConception",2022-02-10,31219,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,26,-2,-23,-54,1,-139,"PreFirstConception",2022-02-13,31259,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,29,1,-20,-51,1,-136,"PreFirstConception",2022-02-16,31293,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,31,3,-18,-49,1,-134,"PreFirstConception",2022-02-18,31320,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,33,5,-16,-47,1,-132,"PreFirstConception",2022-02-20,31344,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,35,7,-14,-45,1,-130,"PreFirstConception",2022-02-22,31368,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,37,9,-12,-43,1,-128,"PreFirstConception",2022-02-24,31395,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,39,11,-10,-41,1,-126,"PreFirstConception",2022-02-26,31418,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,41,13,-8,-39,1,-124,"PreFirstConception",2022-02-28,31442,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,43,15,-6,-37,1,-122,"PreFirstConception",2022-03-02,31466,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,45,17,-4,-35,1,-120,"PreFirstConception",2022-03-04,31491,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,47,19,-2,-33,1,-118,"PreFirstConception",2022-03-06,31519,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,48,20,-1,-32,1,-117,"PreFirstConception",2022-03-07,31536,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,50,22,1,-30,1,-115,"PreFirstConception",2022-03-09,31563,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,52,24,3,-28,1,-113,"PreFirstConception",2022-03-11,31588,NA
"Rapid_PreFirst","DarlingBrew","RRF006","Sub","F","Helper","Evictor",2022-03-08,55,27,6,-25,1,-110,"PreFirstConception",2022-03-14,31628,NA
