"Sampling_Cat","ExperimentalGroup","ExperimentalUnit","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineKingRemoval_DayDiff","UrineLastParturitionOirginalGroup_DayDiff","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount_Total","NextLitter_IndCount_Colony","UrineParturition_DayDiff","GestationStatus_Trimester","UrineDate","UrineNumber"
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,168,-16,-49,-49,-62,1,1,-147,"PreFirstConception",2023-03-22,36751
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,175,-9,-42,-42,-55,1,1,-140,"PreFirstConception",2023-03-29,36852
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,184,0,-33,-33,-46,1,1,-131,"PreFirstConception",2023-04-07,36983
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,187,3,-30,-30,-43,1,1,-128,"PreFirstConception",2023-04-10,37019
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,190,6,-27,-27,-40,1,1,-125,"PreFirstConception",2023-04-13,37074
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,193,9,-24,-24,-37,1,1,-122,"PreFirstConception",2023-04-16,37111
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,196,12,-21,-21,-34,1,1,-119,"PreFirstConception",2023-04-19,37146
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,199,15,-18,-18,-31,1,1,-116,"PreFirstConception",2023-04-22,37189
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,202,18,-15,-15,-28,1,1,-113,"PreFirstConception",2023-04-25,37238
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,205,21,-12,-12,-25,1,1,-110,"PreFirstConception",2023-04-28,37278
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,209,25,-8,-8,-21,1,1,-106,"PreFirstConception",2023-05-02,37300
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,213,29,-4,-4,-17,1,1,-102,"PreFirstConception",2023-05-06,37354
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,215,31,-2,-2,-15,1,1,-100,"Conception",2023-05-08,37388
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,218,34,1,1,-12,1,1,-97,"Conception",2023-05-11,37439
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,220,36,3,3,-10,1,1,-95,"Conception",2023-05-13,37459
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,222,38,5,5,-8,1,1,-93,"Conception",2023-05-15,37499
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,224,40,7,7,-6,1,1,-91,"Conception",2023-05-17,37526
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,226,42,9,9,-4,1,1,-89,"Conception",2023-05-19,37554
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,228,44,11,11,-2,1,1,-87,"FirstTrimester",2023-05-21,37578
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,230,46,13,13,0,1,1,-85,"FirstTrimester",2023-05-23,37609
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,232,48,15,15,2,1,1,-83,"FirstTrimester",2023-05-25,37645
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,234,50,17,17,4,1,1,-81,"FirstTrimester",2023-05-27,37670
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,243,59,26,26,13,1,1,-72,"FirstTrimester",2023-06-05,37792
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,251,67,34,34,21,1,1,-64,"FirstTrimester",2023-06-13,37905
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,258,74,41,41,28,1,1,-57,"SecondTrimester",2023-06-20,37991
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,261,77,44,44,31,1,1,-54,"SecondTrimester",2023-06-23,38037
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,265,81,48,48,35,1,1,-50,"SecondTrimester",2023-06-27,38089
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,272,88,55,55,42,1,1,-43,"SecondTrimester",2023-07-04,38183
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,279,95,62,62,49,1,1,-36,"SecondTrimester",2023-07-11,38249
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,286,102,69,69,56,1,1,-29,"ThirdTrimester",2023-07-18,38336
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,293,109,76,76,63,1,1,-22,"ThirdTrimester",2023-07-25,38405
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,300,116,83,83,70,1,1,-15,"ThirdTrimester",2023-08-01,38452
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,308,124,91,91,78,1,1,-7,"ThirdTrimester",2023-08-09,38537
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,317,133,100,100,87,2,2,-143,"NotPregnant",2023-08-18,38625
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,321,137,104,104,91,2,2,-139,"NotPregnant",2023-08-22,38679
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,330,146,113,113,100,2,2,-130,"NotPregnant",2023-08-31,38753
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,336,152,119,119,106,2,2,-124,"NotPregnant",2023-09-06,38810
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,341,157,124,124,111,2,2,-119,"NotPregnant",2023-09-11,38869
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,357,173,140,140,127,2,2,-103,"NotPregnant",2023-09-27,39095
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,367,183,150,150,137,2,2,-93,"Conception",2023-10-07,39169
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,381,197,164,164,151,2,2,-79,"FirstTrimester",2023-10-21,39328
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,395,211,178,178,165,2,2,-65,"FirstTrimester",2023-11-04,39469
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,406,222,189,189,176,2,2,-54,"SecondTrimester",2023-11-15,39613
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,416,232,199,199,186,2,2,-44,"SecondTrimester",2023-11-25,39721
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,423,239,206,206,193,2,2,-37,"SecondTrimester",2023-12-02,39810
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,423,239,206,206,193,2,2,-37,"SecondTrimester",2023-12-02,39896
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,437,253,220,220,207,2,2,-23,"ThirdTrimester",2023-12-16,39943
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,444,260,227,227,214,2,2,-16,"ThirdTrimester",2023-12-23,40029
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,451,267,234,234,221,2,2,-9,"ThirdTrimester",2023-12-30,40092
"Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,456,272,239,239,226,2,2,-4,"ThirdTrimester",2024-01-04,40105
