"AnimalID","OffspringLitterRef","Sex","Pairing_IndividualCount_Total","PairingDate.x","PairingColony","PairingParturition_DayDiff","ConceptionDate","LitterRef","ConceptionColony","IndividualConceptionCount_Total","IndividualConceptionCount_Colony","ColonyConceptionCount_Colony","ParturitionDate","ParturitionColony","IndividualParturitionCount_Colony","ColonyParturitionCount_Colony","PairingDate.y"
"COF014",781,"F",2,2022-02-15,"Tusker",88,2022-02-18,781,"Tusker",5,1,1,2022-05-14,"Tusker",1,1,2022-02-15
"COF014",804,"F",2,2022-02-15,"Tusker",174,2022-05-15,804,"Tusker",6,2,3,2022-08-08,"Tusker",2,3,2022-02-15
"COF014",840,"F",2,2022-02-15,"Tusker",281,2022-08-30,840,"Tusker",7,3,5,2022-11-23,"Tusker",3,5,2022-02-15
"COF014",886,"F",2,2022-02-15,"Tusker",440,2023-02-05,886,"Tusker",8,4,6,2023-05-01,"Tusker",4,6,2022-02-15
"COF014",953,"F",2,2022-02-15,"Tusker",679,2023-10-02,953,"Tusker",9,5,8,2023-12-26,"Tusker",5,8,2022-02-15
"COF014",973,"F",2,2022-02-15,"Tusker",785,2024-01-16,973,"Tusker",10,6,9,2024-04-10,"Tusker",6,9,2022-02-15
"KBF006",787,"F",1,2022-02-15,"Tusker",97,2022-02-27,787,"Tusker",1,1,2,2022-05-23,"Tusker",1,2,2022-02-15
"KBF006",814,"F",1,2022-02-15,"Tusker",211,2022-06-21,814,"Tusker",2,2,4,2022-09-14,"Tusker",2,4,2022-02-15
"KBF006",900,"F",1,2022-02-15,"Tusker",484,2023-03-21,900,"Tusker",4,3,7,2023-06-14,"Tusker",3,7,2022-02-15
"VGF001",791,"F",2,2022-02-15,"Licher",115,2022-03-17,791,"Licher",8,1,1,2022-06-10,"LCT001",1,1,2022-02-15
"RRF004",801,"F",1,2022-02-15,"Licher",166,2022-05-07,801,"Licher",1,1,2,2022-07-31,"Licher",1,1,2022-02-15
"RRF004",855,"F",1,2022-02-15,"Licher",330,2022-10-18,855,"Licher",2,2,3,2023-01-11,"Licher",2,2,2022-02-15
"RRF004",884,"F",1,2022-02-15,"Licher",434,2023-01-30,884,"Licher",3,3,4,2023-04-25,"Licher",3,3,2022-02-15
"RRF006",797,"F",1,2022-02-15,"DarlingBrew",137,2022-04-08,797,"DarlingBrew",1,1,1,2022-07-02,"DarlingBrew",1,1,2022-02-15
"RRF006",847,"F",1,2022-02-15,"DarlingBrew",316,2022-10-04,847,"DarlingBrew",2,2,2,2022-12-28,"DarlingBrew",2,2,2022-02-15
"CUF031",783,"F",1,2022-02-15,"Trolls",97,2022-02-27,783,"Trolls",1,1,1,2022-05-23,"Trolls",1,1,2022-02-15
"CUF031",844,"F",1,2022-02-15,"Trolls",305,2022-09-23,844,"Trolls",2,2,2,2022-12-17,"Trolls",2,2,2022-02-15
"WAF041",802,"F",1,2022-04-28,"BlueMoon",98,2022-05-11,802,"BlueMoon",1,1,1,2022-08-04,"BlueMoon",1,1,2022-04-28
"WAF041",836,"F",1,2022-04-28,"BlueMoon",206,2022-08-27,836,"BlueMoon",2,2,2,2022-11-20,"BlueMoon",2,2,2022-04-28
"PPF007",803,"F",1,2022-04-28,"Delirium",100,2022-05-13,803,"Delirium",1,1,1,2022-08-06,"Delirium",1,1,2022-04-28
"PPF007",839,"F",1,2022-04-28,"Delirium",210,2022-08-31,839,"Delirium",2,2,2,2022-11-24,"Delirium",2,2,2022-04-28
"PPF007",877,"F",1,2022-04-28,"Delirium",324,2022-12-23,877,"Delirium",3,3,3,2023-03-18,"Delirium",3,3,2022-04-28
"PPF008",816,"F",1,2022-04-28,"Chouffe",141,2022-06-23,816,"Chouffe",1,1,1,2022-09-16,"Chouffe",1,1,2022-04-28
"PPF008",875,"F",1,2022-04-28,"Chouffe",321,2022-12-20,875,"Chouffe",2,2,2,2023-03-15,"Chouffe",2,2,2022-04-28
"Z3F043",829,"F",2,2022-04-28,"BlackLabel",175,2022-07-27,829,"BlackLabel",4,1,1,2022-10-20,"BLT001",1,1,2022-04-28
"TMF002",846,"F",1,2022-04-28,"BlackLabel",242,2022-10-02,846,"BlackLabel",1,1,2,2022-12-26,"BlackLabel",1,1,2022-04-28
"TMF002",898,"F",1,2022-04-28,"BlackLabel",410,2023-03-19,898,"BlackLabel",2,2,3,2023-06-12,"BlackLabel",2,2,2022-04-28
"TMF002",929,"F",1,2022-04-28,"BlackLabel",515,2023-07-02,929,"BlackLabel",3,3,4,2023-09-25,"BlackLabel",3,3,2022-04-28
"ARF028",811,"F",2,2022-06-03,"Corbeau",98,2022-06-16,811,"Corbeau",7,1,1,2022-09-09,"Corbeau",1,1,2022-06-03
"ARF028",859,"F",2,2022-06-03,"Corbeau",227,2022-10-23,859,"Corbeau",8,2,2,2023-01-16,"Corbeau",2,2,2022-06-03
"SOF001",891,"F",1,2022-06-03,"Corbeau",356,2023-03-01,891,"Corbeau",1,1,3,2023-05-25,"Corbeau",1,3,2022-06-03
"SOF001",922,"F",1,2022-06-03,"Corbeau",464,2023-06-17,922,"Corbeau",2,2,4,2023-09-10,"Corbeau",2,4,2022-06-03
"SOF001",954,"F",1,2022-06-03,"Corbeau",583,2023-10-14,954,"Corbeau",3,3,5,2024-01-07,"Corbeau",3,5,2022-06-03
"SOF001",986,"F",1,2022-06-03,"Corbeau",707,2024-02-15,986,"Corbeau",4,4,6,2024-05-10,"Corbeau",4,6,2022-06-03
"DRF015",823,"F",2,2022-06-03,"Guinness",121,2022-07-09,823,"Guinness",10,1,1,2022-10-02,"Guinness",1,1,2022-06-03
"RSF008",890,"F",1,2022-06-03,"Guinness",340,2023-02-13,890,"Guinness",1,1,2,2023-05-09,"Guinness",1,2,2022-06-03
"RSF008",917,"F",1,2022-06-03,"Guinness",442,2023-05-26,917,"Guinness",2,2,3,2023-08-19,"Guinness",2,3,2022-06-03
"GOF035",810,"F",1,2022-06-03,"Hoodoo",96,2022-06-14,810,"Hoodoo",1,1,1,2022-09-07,"Hoodoo",1,1,2022-06-03
"GOF035",861,"F",1,2022-06-03,"Hoodoo",235,2022-10-31,861,"Hoodoo",2,2,2,2023-01-24,"Hoodoo",2,2,2022-06-03
"TSF048",835,"F",2,2022-08-15,"Stella",94,2022-08-24,835,"Stella",9,1,1,2022-11-17,"Stella",1,1,2022-08-15
"TSF048",885,"F",2,2022-08-15,"Stella",258,2023-02-04,885,"Stella",10,2,2,2023-04-30,"Stella",2,2,2022-08-15
"TSF048",937,"F",2,2022-08-15,"Stella",440,2023-08-05,937,"Stella",11,3,3,2023-10-29,"Stella",3,3,2022-08-15
"TSF048",965,"F",2,2022-08-15,"Stella",558,2023-12-01,965,"Stella",12,4,4,2024-02-24,"Stella",4,4,2022-08-15
"MIF016",841,"F",1,2022-08-15,"DjuDju",100,2022-08-30,841,"DjuDju",1,1,1,2022-11-23,"DjuDju",1,1,2022-08-15
"MIF016",872,"F",1,2022-08-15,"DjuDju",203,2022-12-11,872,"DjuDju",2,2,2,2023-03-06,"DjuDju",2,2,2022-08-15
"DVF048",843,"F",1,2022-08-15,"DevilsPeak",118,2022-09-17,843,"DevilsPeak",1,1,1,2022-12-11,"DevilsPeak",1,1,2022-08-15
"DVF061",939,"F",1,2022-08-15,"DevilsPeak",441,2023-08-06,939,"DevilsPeak",1,1,2,2023-10-30,"DevilsPeak",1,2,2022-08-15
"WAF002",837,"F",4,2022-08-15,"Angol",101,2022-08-31,837,"Angol",20,1,1,2022-11-24,"Angol",1,1,2022-08-15
"WAF002",870,"F",4,2022-08-15,"Angol",196,2022-12-04,870,"Angol",21,2,2,2023-02-27,"Angol",2,2,2022-08-15
"WAF002",892,"F",4,2022-08-15,"Angol",291,2023-03-09,892,"Angol",22,3,3,2023-06-02,"Angol",3,3,2022-08-15
"WAF002",925,"F",4,2022-08-15,"Angol",393,2023-06-19,925,"Angol",23,4,4,2023-09-12,"Angol",4,4,2022-08-15
"VGF002",893,"F",2,2023-03-02,"WicklowWolf",94,2023-03-11,893,"WicklowWolf",11,1,1,2023-06-04,"WicklowWolf",1,1,2023-03-02
"VGF002",928,"F",2,2023-03-02,"WicklowWolf",205,2023-06-30,928,"WicklowWolf",12,2,2,2023-09-23,"WicklowWolf",2,2,2023-03-02
"ORF005",896,"F",1,2023-03-02,"Kasteel",102,2023-03-19,896,"Kasteel",1,1,1,2023-06-12,"Kasteel",1,1,2023-03-02
"ORF005",927,"F",1,2023-03-02,"Kasteel",205,2023-06-30,927,"Kasteel",2,2,2,2023-09-23,"Kasteel",2,2,2023-03-02
"ORF005",970,"F",1,2023-03-02,"Kasteel",364,2023-12-06,970,"Kasteel",3,3,3,2024-02-29,"Kasteel",3,3,2023-03-02
"MBF003",894,"F",1,2023-03-02,"GhostShip",95,2023-03-12,894,"GhostShip",1,1,1,2023-06-05,"GhostShip",1,1,2023-03-02
"MBF003",938,"F",1,2023-03-02,"GhostShip",241,2023-08-05,938,"GhostShip",2,2,2,2023-10-29,"GhostShip",2,2,2023-03-02
"MBF003",971,"F",1,2023-03-02,"GhostShip",373,2023-12-15,971,"GhostShip",3,3,3,2024-03-09,"GhostShip",3,3,2023-03-02
"DRF004",921,"F",2,2023-03-02,"Bitburger",185,2023-06-10,921,"BBT001",9,1,1,2023-09-03,"BBT001",1,1,2023-03-02
"MBF004",905,"F",1,2023-03-02,"Bitburger",134,2023-04-20,905,"Bitburger",1,1,1,2023-07-14,"Bitburger",1,1,2023-03-02
"MBF004",957,"F",1,2023-03-02,"Bitburger",315,2023-10-18,957,"Bitburger",2,2,2,2024-01-11,"Bitburger",2,2,2023-03-02
"MBF004",988,"F",1,2023-03-02,"Bitburger",469,2024-03-20,988,"Bitburger",3,3,3,2024-06-13,"Bitburger",3,3,2023-03-02
"ABF002",899,"F",1,2023-03-02,"Corona",102,2023-03-19,899,"Corona",1,1,1,2023-06-12,"Corona",1,1,2023-03-02
"ABF002",941,"F",1,2023-03-02,"Corona",244,2023-08-08,941,"Corona",2,2,2,2023-11-01,"Corona",2,2,2023-03-02
"KGF002",912,"F",2,2023-05-10,"Leffe",91,2023-05-16,912,"Leffe",9,1,1,2023-08-09,"Leffe",1,1,2023-05-10
"ERF002",945,"F",1,2023-05-10,"Leffe",189,2023-08-22,945,"Leffe",1,1,2,2023-11-15,"Leffe",1,2,2023-05-10
"ERF002",985,"F",1,2023-05-10,"Leffe",367,2024-02-16,985,"Leffe",2,2,3,2024-05-11,"Leffe",2,3,2023-05-10
"TIF039",916,"F",1,2023-05-10,"Asahi",98,2023-05-23,916,"Asahi",1,1,1,2023-08-16,"Asahi",1,1,2023-05-10
"TIF039",956,"F",1,2023-05-10,"Asahi",243,2023-10-15,956,"Asahi",2,2,2,2024-01-08,"Asahi",2,2,2023-05-10
"TIF039",980,"F",1,2023-05-10,"Asahi",351,2024-01-31,980,"Asahi",3,3,3,2024-04-25,"Asahi",3,3,2023-05-10
"TIF036",915,"F",1,2023-05-10,"Featherstone",97,2023-05-22,915,"Featherstone",1,1,1,2023-08-15,"Featherstone",1,1,2023-05-10
"TIF036",955,"F",1,2023-05-10,"Featherstone",242,2023-10-14,955,"Featherstone",2,2,2,2024-01-07,"Featherstone",2,2,2023-05-10
"TIF036",992,"F",1,2023-05-10,"Featherstone",413,2024-04-02,992,"Featherstone",3,3,3,2024-06-26,"Featherstone",3,3,2023-05-10
"BEF006",913,"F",1,2023-05-10,"Lion",96,2023-05-21,913,"Lion",1,1,1,2023-08-14,"Lion",1,1,2023-05-10
"BEF006",947,"F",1,2023-05-10,"Lion",201,2023-09-03,947,"Lion",2,2,3,2023-11-27,"Lion",2,3,2023-05-10
"BEF006",990,"F",1,2023-05-10,"Lion",406,2024-03-26,990,"Lion",3,3,4,2024-06-19,"Lion",3,4,2023-05-10
"BEF036",943,"F",1,2023-05-10,"Lion",181,2023-08-14,943,"Lion",1,1,2,2023-11-07,"Lion",1,2,2023-05-10
