"AnimalID","Sex","IsolationDate","Colony","UrineNumber","Label","ExpName","UrineDate","In","Out","UrineDelay","VolumeCollected","SampleType"
"RRF006","F",2022-01-18,"RuRu",30791,"Baseline",NA,2022-01-03,"07:41:32","08:09:39",NA,1.1,"Urine"
"RRF006","F",2022-01-18,"RuRu",30869,"Baseline",NA,2022-01-09,"08:55:52","09:02:57",NA,0.7,"Urine"
"RRF006","F",2022-01-18,"RuRu",30914,"Baseline",NA,2022-01-13,"07:50:35","07:56:42",NA,0.4,"Urine"
"RRF006","F",2022-01-18,"RuRu",30970,"DC",NA,2022-01-18,"06:33:46","06:50:51",NA,0.8,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",30970,"DC",NA,2022-01-18,"06:33:46","06:50:51",NA,0.8,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31023,"DC",NA,2022-01-22,"07:34:09","07:53:46",NA,0.9,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31040,"DC",NA,2022-01-24,"07:25:14","07:35:18",NA,0.6,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31076,"DC",NA,2022-01-27,"07:13:12","07:25:23",NA,1,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31101,"DC",NA,2022-01-30,"07:18:04","07:21:12",NA,1.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31135,"DC",NA,2022-02-02,"07:29:57","07:46:04",NA,0.6,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31160,"DC",NA,2022-02-05,"07:35:47","08:01:56",NA,1.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31178,"DC",NA,2022-02-07,"07:03:20","07:25:37",NA,0.7,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31219,"DC",NA,2022-02-10,"07:28:35","07:52:41",NA,1.1,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31259,"DC",NA,2022-02-13,"08:32:26","08:42:37",NA,0.9,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31293,"DC",NA,2022-02-16,"07:13:03","07:40:11",NA,1.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31320,"DC",NA,2022-02-18,"07:18:01","07:42:17",NA,1.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31344,"DC",NA,2022-02-20,"07:22:28","07:35:32",NA,0.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31368,"DC",NA,2022-02-22,"07:21:40","07:46:47",NA,0.3,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31395,"DC",NA,2022-02-24,"07:28:00","07:51:06",NA,1.1,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31418,"DC",NA,2022-02-26,"06:27:28","06:38:08",NA,0.7,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31442,"DC",NA,2022-02-28,"07:16:24","07:37:36",NA,0.9,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31466,"DC",NA,2022-03-02,"07:50:30","08:11:52",NA,1.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31491,"DC",NA,2022-03-04,"07:35:44","07:54:56",NA,0.5,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31519,"DC",NA,2022-03-06,"08:20:32","08:32:39",NA,1.4,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31536,"DC",NA,2022-03-07,"07:26:44","07:37:55",NA,1,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31563,"DC",NA,2022-03-09,"07:20:49","07:40:56",NA,1.4,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31588,"DC",NA,2022-03-11,"07:29:58","07:34:07",NA,0.6,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31628,"Post-Eviction",NA,2022-03-14,"07:25:21","07:33:30",NA,1.4,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31723,"DC",NA,2022-03-21,"07:24:28","07:41:33",NA,1.4,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31745,"Post-Eviction",NA,2022-03-23,"07:17:30","07:43:38",NA,1.2,"Urine"
"RRF006","F",2022-01-18,"DarlingBrew",31801,"DC",NA,2022-03-28,"07:45:33","08:13:42",NA,1.4,"Urine"
