"Treatment","ExperimentalGroup","AnimalID","BS_Original","EvictionStatus","UrineIsolationDayDiff","UrineNumber"
"Sub","BlueMoon","WAF041","Helper","Evictor",0,31845
"Sub","BlueMoon","WAF045","Helper","Evictee",0,31848
"Sub","DarlingBrew","RRF006","Helper","Evictor",-9,30869
"Sub","DarlingBrew","RRF010","Helper","Evictee",-9,30871
"Sub","DarlingBrew","RRF006","Helper","Evictor",-5,30914
"Sub","DarlingBrew","RRF010","Helper","Evictee",-5,30922
"Sub","DarlingBrew","RRF006","Helper","Evictor",0,30970
"Sub","DarlingBrew","RRF010","Helper","Evictee",0,30971
"Sub","Delirium","PPF007","Helper","Evictor",-12,31707
"Sub","Delirium","PPF009","Helper","Evictee",-12,31701
"Sub","Delirium","PPF007","Helper","Evictor",-5,31786
"Sub","Delirium","PPF009","Helper","Evictee",-5,31781
"Sub","Delirium","PPF007","Helper","Evictor",0,31847
"Sub","Delirium","PPF009","Helper","Evictee",0,31837
"Sub","DevilsPeak","DVF048","Helper","InGroup",-11,33185
"Sub","DevilsPeak","DVF061","Helper","InGroup",-11,33180
"Sub","DevilsPeak","DVF048","Helper","InGroup",0,33348
"Sub","DevilsPeak","DVF061","Helper","InGroup",0,33353
"Sub","DjuDju","MIF012","Helper","Evictee",-11,33183
"Sub","DjuDju","MIF016","Helper","Evictor",-11,33191
"Sub","DjuDju","MIF012","Helper","Evictee",0,33351
"Sub","DjuDju","MIF016","Helper","Evictor",0,33339
"Sub","Firestone","SOF002","Helper","Evictee",-8,32239
"Sub","Firestone","SOF006","Helper","Evictor",-8,32234
"Sub","GhostShip","MBF003","Helper","Evictor",-13,35892
"Sub","GhostShip","MBF006","Helper","Evictee",-13,35893
"Sub","Hoodoo","GOF040","Helper","Evictee",-9,32218
"Sub","Hoodoo","GOF035","Helper","Evictor",-8,32246
"Sub","Hoodoo","GOF040","Helper","Evictee",-8,32236
"Sub","Kasteel","ORF005","Helper","Evictor",-11,35931
"Sub","Kasteel","ORF018","Helper","Evictee",-11,35920
"Sub","Trolls","CUF012","Helper","Evictee",0,30981
"Sub","Trolls","CUF031","Helper","Evictor",0,31017
"Queen","Angol","WAF002","Breeder","Evictor",-14,33141
"Queen","Angol","WAF002","Breeder","Evictor",-12,33171
"Queen","Angol","DVF047","Helper","Evictee",-11,33187
"Queen","Angol","WAF002","Breeder","Evictor",-10,33200
"Queen","Angol","WAF002","Breeder","Evictor",-8,33222
"Queen","Angol","WAF002","Breeder","Evictor",-6,33256
"Queen","Angol","WAF002","Breeder","Evictor",-4,33285
"Queen","Angol","WAF002","Breeder","Evictor",-2,33309
"Queen","Angol","DVF047","Helper","Evictee",0,33347
"Queen","Angol","WAF002","Breeder","Evictor",0,33346
"Queen","Bitburger","DRF004","Breeder","Evictee",-13,35891
"Queen","Bitburger","MBF004","Helper","Evictor",-13,35894
"Queen","Bitburger","DRF004","Breeder","Evictee",-11,35923
"Queen","Bitburger","DRF004","Breeder","Evictee",-9,35958
"Queen","Bitburger","DRF004","Breeder","Evictee",-7,35980
"Queen","Bitburger","DRF004","Breeder","Evictee",-5,35998
"Queen","Bitburger","DRF004","Breeder","Evictee",-3,36019
"Queen","Bitburger","DRF004","Breeder","Evictee",-1,36054
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-14,31669
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-12,31696
"Queen","BlackLabel","TMF002","Helper","Evictor",-10,31728
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-10,31727
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-8,31747
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-6,31772
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-4,31791
"Queen","BlackLabel","Z3F043","Breeder","Evictee",-1,31829
"Queen","BlackLabel","TMF002","Helper","Evictor",0,31839
"Queen","BlackLabel","Z3F043","Breeder","Evictee",0,31843
"Queen","Chouffe","WEF005","Breeder","Evictee",-14,31670
"Queen","Chouffe","PPF008","Helper","Evictor",-12,31706
"Queen","Chouffe","WEF005","Breeder","Evictee",-12,31697
"Queen","Chouffe","WEF005","Breeder","Evictee",-10,31725
"Queen","Chouffe","WEF005","Breeder","Evictee",-8,31755
"Queen","Chouffe","PPF008","Helper","Evictor",-5,31784
"Queen","Chouffe","WEF005","Breeder","Evictee",-5,31780
"Queen","Chouffe","WEF005","Breeder","Evictee",-4,31790
"Queen","Chouffe","WEF005","Breeder","Evictee",-2,31819
"Queen","Chouffe","PPF008","Helper","Evictor",0,31838
"Queen","Chouffe","WEF005","Breeder","Evictee",0,31835
"Queen","Corbeau","ARF028","Breeder","Evictee",-14,32146
"Queen","Corbeau","ARF028","Breeder","Evictee",-12,32172
"Queen","Corbeau","ARF028","Breeder","Evictee",-10,32202
"Queen","Corbeau","SOF001","Helper","Evictor",-8,32233
"Queen","Corbeau","ARF028","Breeder","Evictee",-5,32271
"Queen","Corbeau","ARF028","Breeder","Evictee",-4,32282
"Queen","Corbeau","ARF028","Breeder","Evictee",-2,32309
"Queen","Corona","GOF025","Breeder","Evictee",-14,35883
"Queen","Corona","ABF002","Helper","Evictor",-12,35909
"Queen","Corona","GOF025","Breeder","Evictee",-12,35914
"Queen","Corona","ABF002","Helper","Evictor",-10,35936
"Queen","Corona","GOF025","Breeder","Evictee",-10,35937
"Queen","Corona","GOF025","Breeder","Evictee",-8,35966
"Queen","Corona","ABF002","Helper","Evictor",-5,35997
"Queen","Corona","GOF025","Breeder","Evictee",-5,36003
"Queen","Corona","GOF025","Breeder","Evictee",-3,36021
"Queen","Corona","GOF025","Breeder","Evictee",-1,36059
"Queen","Guinness","DRF015","Breeder","Evictee",-14,32143
"Queen","Guinness","DRF015","Breeder","Evictee",-12,32164
"Queen","Guinness","DRF015","Breeder","Evictee",-10,32201
"Queen","Guinness","RSF008","Helper","Evictor",-8,32235
"Queen","Guinness","DRF015","Breeder","Evictee",-5,32264
"Queen","Guinness","DRF015","Breeder","Evictee",-4,32276
"Queen","Guinness","DRF015","Breeder","Evictee",-2,32304
"Queen","Licher","VGF001","Breeder","Evictee",-13,30814
"Queen","Licher","RRF004","Helper","Evictor",-9,30873
"Queen","Licher","VGF001","Breeder","Evictee",-9,30874
"Queen","Licher","RRF004","Helper","Evictor",-5,30919
