"AnimalID","R1","R2","R3","UrineNumber","BoxID","BoxPosition","NewBox","NewPosition"
"KBF006","FirstConc",NA,NA,31470,76,14,1,1
"KBF006","FirstConc",NA,NA,31488,76,35,1,2
"CUF031","FirstConc",NA,NA,31497,76,39,1,3
"KBF006","FirstConc",NA,NA,31446,76,57,1,4
"CUF031","FirstConc",NA,NA,31434,76,66,1,5
"CUF012","PostEviction14",NA,NA,31473,76,78,1,6
"CUF031","PostEviction14","FirstConc",NA,31471,77,2,1,7
"WAF045","PostEviction14",NA,NA,32290,79,20,1,8
"PPF007","PostPair10","PreEviction16","FirstConc",32226,79,28,1,9
"PPF009","PostEviction14",NA,NA,32249,79,34,1,10
"WAF045","PostPair10","PreEviction16",NA,32224,79,39,1,11
"WAF041","PostPair10",NA,"PreEviction16",32230,79,42,1,12
"WAF041","PostPair10","PreEviction16","FirstConc",32265,79,51,1,13
"PPF009","PostPair10","PreEviction16",NA,32225,79,62,1,14
"PPF007","PostEviction14","FirstConc",NA,32255,79,66,1,15
"PPF007","FirstConc",NA,NA,32315,79,71,1,16
"PPF007","FirstConc",NA,NA,32269,79,74,1,17
"WAF041",NA,"PostPair10",NA,32230,79,78,1,18
"WAF041","PostEviction14","FirstConc",NA,32291,79,79,1,19
"WAF041","PostPair10","PreEviction16","FirstConc",32253,80,1,1,20
"PPF007","FirstConc",NA,NA,32289,80,2,1,21
"WAF045","PostPair10","PreEviction16",NA,32266,80,5,1,22
"PPF007","FirstConc",NA,NA,32361,80,13,1,23
"WAF041","FirstConc",NA,NA,32360,80,21,1,24
"WAF041","FirstConc",NA,NA,32386,80,38,1,25
"WAF041","FirstConc",NA,NA,32425,80,51,1,26
"WAF041","FirstConc",NA,NA,32324,80,69,1,27
"PPF009","PostEviction14",NA,NA,32422,80,70,1,28
"PPF007","FirstConc",NA,NA,32387,81,2,1,29
"PPF007","PostEviction14","FirstConc","RA",32431,81,13,1,30
"WAF041","PostEviction14",NA,NA,32532,81,63,1,31
"GOF040","PostPair10","PreEviction16",NA,32714,82,13,1,32
"GOF035","PostEviction14","FirstConc",NA,32790,82,35,1,33
"GOF035","PostPair10","PreEviction16","FirstConc",32761,82,36,1,34
"GOF035","PostPair10","PreEviction16","FirstConc",32742,82,46,1,35
"GOF040","PostEviction14",NA,NA,32797,82,57,1,36
"GOF040","PostPair10","PreEviction16",NA,32772,82,59,1,37
"GOF035","FirstConc",NA,NA,32811,82,78,1,38
"GOF035","PostPair10","PreEviction16","FirstConc",32719,82,80,1,39
"GOF035","FirstConc",NA,NA,32835,83,2,1,40
"GOF040","PostEviction14",NA,NA,33012,83,41,1,41
"GOF035","FirstConc",NA,NA,32894,83,58,1,42
"GOF035","PostEviction14",NA,NA,32957,83,64,1,43
"GOF035","FirstConc",NA,NA,32867,83,69,1,44
"MIF016","PostPair10","PreEviction16","FirstConc",33763,86,17,1,45
"DVF048","PostPair10",NA,NA,33797,86,20,1,46
"WAF002","FirstConc",NA,NA,33805,86,22,1,47
"MIF016","PostEviction14","FirstConc",NA,33779,86,23,1,48
"DVF047","PostPair10","PreEviction16",NA,33760,86,24,1,49
"DVF048","PostPair10",NA,NA,33821,86,25,1,50
"TSF048","FirstConc",NA,NA,33808,86,32,1,51
"MIF008","PostEviction14",NA,NA,33778,86,34,1,52
"DVF061","PostPair10",NA,NA,33819,86,35,1,53
"WAF002","PostEviction14","FirstConc",NA,33774,86,36,1,54
"DVF048","PostPair10",NA,NA,33766,86,37,1,55
"MIF012","PostEviction14",NA,NA,33775,86,39,1,56
"MIF016","FirstConc",NA,NA,33809,86,45,1,57
"DVF061","PostPair10",NA,NA,33773,86,56,1,58
"TSF048","PostEviction14","FirstConc",NA,33776,86,63,1,59
"WAF002","PostPair10","PreEviction16","FirstConc",33759,86,69,1,60
"DVF047","PostEviction14",NA,NA,33780,86,73,1,61
"MIF012","PostPair10","PreEviction16",NA,33761,86,76,1,62
"TSF048","PostPair10","PreEviction16","FirstConc",33764,87,3,1,63
"DVF061","PostPair10",NA,NA,33792,87,8,1,64
"MIF008","PostPair10","PreEviction16",NA,33765,87,11,1,65
"TSF048","FirstConc",NA,NA,33838,87,15,1,66
"WAF002","FirstConc",NA,NA,33835,87,17,1,67
"DVF061","PostPair10",NA,NA,33854,87,19,1,68
"WAF002","FirstConc",NA,NA,33902,87,20,1,69
"MIF016","FirstConc",NA,NA,33839,87,25,1,70
"TSF048","FirstConc",NA,NA,33896,87,27,1,71
"MIF016","FirstConc",NA,NA,33868,87,28,1,72
"TSF048","FirstConc",NA,NA,33929,87,30,1,73
"TSF048","PostEviction14",NA,NA,34025,87,31,1,74
"DVF061","PostPair10",NA,NA,33879,87,32,1,75
"DVF061","RA",NA,NA,33934,87,39,1,76
"DVF048","FirstConc",NA,NA,34013,87,43,1,77
"MIF008","PostEviction14",NA,NA,34028,87,47,1,78
"MIF012","PostEviction14",NA,NA,34027,87,50,1,79
"TSF048","FirstConc",NA,NA,33870,87,51,1,80
"WAF002","PostEviction14","FirstConc",NA,34024,87,53,1,81
"DVF048","PostPair10",NA,NA,33850,87,59,2,1
"DVF048","FirstConc",NA,NA,34055,87,64,2,2
"DVF048","RA",NA,NA,33932,87,66,2,3
"DVF047","PostEviction14",NA,NA,34026,87,69,2,4
"DVF048","PostPair10",NA,NA,33878,87,81,2,5
"MIF016","FirstConc",NA,NA,33928,88,1,2,6
"WAF002","FirstConc",NA,NA,33924,88,4,2,7
"WAF002","FirstConc",NA,NA,33869,88,7,2,8
"MIF016","FirstConc",NA,NA,33901,88,10,2,9
"DVF061","RA",NA,NA,34339,88,12,2,10
"DVF048","FirstConc","RA",NA,34160,88,19,2,11
"DVF048","FirstConc",NA,NA,34248,88,24,2,12
"DVF061","RA",NA,NA,34161,89,8,2,13
"DVF061","RA",NA,NA,34741,89,39,2,14
"DVF061","RA",NA,NA,34927,89,50,2,15
"DVF061","RA",NA,NA,34558,89,58,2,16
"DVF061","RA",NA,NA,35473,90,12,2,17
"DVF061","RA",NA,NA,35094,90,19,2,18
"DVF061","RA",NA,NA,35281,90,53,2,19
"DVF061","RA",NA,NA,35939,91,15,2,20
"DVF061","RA",NA,NA,35744,92,55,2,21
