"ObsRef","ObsFileID","PrevObs_TimeDiff","ObsType","DataSource","ColonyRef","Colony","ObsDateTime_Start","ObsDate_Start","ObsTime_Start","ObsDuration_Total_S","ObsDuration_Total_Hms","ObsDuration_Cont_S","ObsDateTime_Stop","ObsDate_Stop","ObsTime_Stop","TotalScan","TotalScan_Est","ReplicatesCount","TotalScan_Calc"
6814,918,NA,"Scan","MR_RawData",6,"Bennett",2019-05-06 08:09:26,2019-05-06,08:09:26.590,25440,07:04:00,13703,2019-05-06 15:13:26,2019-05-06,"15:13:26",107,106,1,106
6815,919,-3.77395000457764,"Scan","MR_RawData",6,"Bennett",2019-05-06 15:09:40,2019-05-06,15:09:40.153,17760,04:56:00,6512,2019-05-06 20:05:40,2019-05-06,"20:05:40",75,74,1,75
6827,931,NA,"Scan","MR_RawData",6,"Bennett",2019-05-13 07:44:08,2019-05-13,07:44:08.053,4320,01:12:00,1493,2019-05-13 08:56:08,2019-05-13,"08:56:08",19,18,1,18
6828,932,-4.32741666634877,"Scan","MR_RawData",6,"Bennett",2019-05-13 08:51:48,2019-05-13,08:51:48.408,30480,08:28:00,12984,2019-05-13 17:19:48,2019-05-13,"17:19:48",128,127,1,127
7035,1125,NA,"Scan","MR_RawData",6,"Bennett",2019-09-30 15:59:02,2019-09-30,15:59:02.950,2160,00:36:00,922,2019-09-30 16:35:02,2019-09-30,"16:35:02",10,9,1,9
7036,1126,-0.472966667016347,"Scan","MR_RawData",6,"Bennett",2019-09-30 16:34:34,2019-09-30,16:34:34.572,12240,03:24:00,8545,2019-09-30 19:58:34,2019-09-30,"19:58:34",52,51,1,52
8978,2773,NA,"Scan","MR_RawData",691,"BlackLabel",2022-05-12 16:50:02,2022-05-12,16:50:02.539,8253,02:17:33,1520,2022-05-12 19:07:35,2022-05-12,"19:07:35",22,34,1,21
8982,2774,-61.1435166676839,"Scan","MR_RawData",691,"BlackLabel",2022-05-12 18:06:26,2022-05-12,18:06:26.928,5520,01:32:00,2043,2022-05-12 19:38:26,2022-05-12,"19:38:26",24,23,1,24
8980,2773,NA,"Scan","MR_RawData",693,"BlueMoon",2022-05-12 16:50:02,2022-05-12,16:50:02.539,8253,02:17:33,1520,2022-05-12 19:07:35,2022-05-12,"19:07:35",22,34,1,21
8984,2774,-61.1435166676839,"Scan","MR_RawData",693,"BlueMoon",2022-05-12 18:06:26,2022-05-12,18:06:26.928,5520,01:32:00,2043,2022-05-12 19:38:26,2022-05-12,"19:38:26",24,23,1,24
6577,770,NA,"Scan","MR_RawData",464,"Brubru",2019-10-10 14:24:38,2019-10-10,14:24:38.069,2160,00:36:00,1484,2019-10-10 15:00:38,2019-10-10,"15:00:38",10,9,1,9
6593,774,-0.222833335399628,"Scan","MR_RawData",464,"Brubru",2019-10-10 15:00:24,2019-10-10,15:00:24.699,14160,03:56:00,6535,2019-10-10 18:56:24,2019-10-10,"18:56:24",60,59,1,60
8868,2739,NA,"Scan","MR_RawData",689,"Chouffe",2022-04-28 15:57:46,2022-04-28,15:57:46.973,6960,01:56:00,811,2022-04-28 17:53:46,2022-04-28,"17:53:46",30,29,1,30
8870,2740,-109.316383334001,"Scan","MR_RawData",689,"Chouffe",2022-04-28 16:04:27,2022-04-28,16:04:27.990,6960,01:56:00,1401,2022-04-28 18:00:27,2022-04-28,"18:00:27",30,29,1,30
8860,2736,NA,"Scan","MR_RawData",689,"Chouffe",2022-04-29 14:02:33,2022-04-29,14:02:33.289,14160,03:56:00,2159,2022-04-29 17:58:33,2022-04-29,"17:58:33",60,59,1,60
9102,2803,-229.507550001144,"Scan","MR_RawData",689,"Chouffe",2022-04-29 14:09:02,2022-04-29,14:09:02.836,12720,03:32:00,2799,2022-04-29 17:41:02,2022-04-29,"17:41:02",54,53,1,54
8863,2737,NA,"Scan","MR_RawData",689,"Chouffe",2022-04-30 14:08:12,2022-04-30,14:08:12.996,14160,03:56:00,1926,2022-04-30 18:04:12,2022-04-30,"18:04:12",60,59,1,60
9085,2800,-213.778933334351,"Scan","MR_RawData",689,"Chouffe",2022-04-30 14:30:26,2022-04-30,14:30:26.260,14160,03:56:00,3531,2022-04-30 18:26:26,2022-04-30,"18:26:26",60,59,1,60
9071,2797,NA,"Scan","MR_RawData",689,"Chouffe",2022-05-02 09:14:32,2022-05-02,09:14:32.943,14160,03:56:00,2298,2022-05-02 13:10:32,2022-05-02,"13:10:32",60,59,1,60
9091,2801,-229.225066661835,"Scan","MR_RawData",689,"Chouffe",2022-05-02 09:21:19,2022-05-02,09:21:19.439,14160,03:56:00,3955,2022-05-02 13:17:19,2022-05-02,"13:17:19",60,59,1,60
9075,2798,NA,"Scan","MR_RawData",689,"Chouffe",2022-05-04 07:30:41,2022-05-04,07:30:41.786,14160,03:56:00,1595,2022-05-04 11:26:41,2022-05-04,"11:26:41",60,59,1,60
9097,2802,-229.250783336163,"Scan","MR_RawData",689,"Chouffe",2022-05-04 07:37:26,2022-05-04,07:37:26.739,14160,03:56:00,3598,2022-05-04 11:33:26,2022-05-04,"11:33:26",60,59,1,60
8977,2773,NA,"Scan","MR_RawData",689,"Chouffe",2022-05-12 16:50:02,2022-05-12,16:50:02.539,8253,02:17:33,1520,2022-05-12 19:07:35,2022-05-12,"19:07:35",22,34,1,21
8981,2774,-61.1435166676839,"Scan","MR_RawData",689,"Chouffe",2022-05-12 18:06:26,2022-05-12,18:06:26.928,5520,01:32:00,2043,2022-05-12 19:38:26,2022-05-12,"19:38:26",24,23,1,24
9251,2848,NA,"Scan","MR_RawData",703,"Corbeau",2022-07-22 13:11:00,2022-07-22,13:11:00.011,1920,00:32:00,668,2022-07-22 13:43:00,2022-07-22,"13:43:00",9,8,1,9
9227,2842,-3.8524666706721,"Scan","MR_RawData",703,"Corbeau",2022-07-22 13:39:08,2022-07-22,13:39:08.863,8640,02:24:00,2681,2022-07-22 16:03:08,2022-07-22,"16:03:08",37,36,1,36
6953,1043,NA,"Scan","MR_RawData",287,"Cousteau",2019-07-26 13:33:12,2019-07-26,13:33:12.984,5040,01:24:00,784,2019-07-26 14:57:12,2019-07-26,"14:57:12",22,21,1,21
6954,1044,-0.0145666639010111,"Scan","MR_RawData",287,"Cousteau",2019-07-26 14:57:12,2019-07-26,14:57:12.110,10560,02:56:00,1971,2019-07-26 17:53:12,2019-07-26,"17:53:12",45,44,1,45
6980,1070,NA,"Scan","MR_RawData",287,"Cousteau",2019-08-08 13:37:58,2019-08-08,13:37:58.319,6960,01:56:00,1533,2019-08-08 15:33:58,2019-08-08,"15:33:58",30,29,1,29
