ExperimentalUnit,ExperimentalGroup,Treatment,AnimalID,BS_Original,UrineNumber,NewBox,NewPosition,
3,BlueMoon,Sub,WAF041,Helper,31845,1,5,
3,BlueMoon,Sub,WAF045,Helper,31848,1,10,
6,BlackLabel,Queen,TMF002,Helper,31728,1,8,
6,BlackLabel,Queen,TMF002,Helper,31839,1,15,
6,BlackLabel,Queen,Z3F043,Breeder,31669,1,2,
6,BlackLabel,Queen,Z3F043,Breeder,31843,1,7,
7,Chouffe,Queen,PPF008,Helper,31706,1,13,
7,Chouffe,Queen,PPF008,Helper,31838,1,4,
7,Chouffe,Queen,WEF005,Breeder,31670,1,1,
7,Chouffe,Queen,WEF005,Breeder,31835,1,9,
8,Delirium,Sub,PPF007,Helper,31707,1,16,
8,Delirium,Sub,PPF007,Helper,31847,1,3,
8,Delirium,Sub,PPF009,Helper,31701,1,12,
8,Delirium,Sub,PPF009,Helper,31837,1,14,
9,Corbeau,Queen,ARF028,Breeder,32146,1,18,
9,Corbeau,Queen,ARF028,Breeder,32309,1,20,
10,Firestone,Sub,SOF002,Helper,32239,1,21,
10,Firestone,Sub,SOF006,Helper,32234,1,28,
11,Guinness,Queen,RSF008,Helper,32235,1,25,
11,Guinness,Queen,DRF015,Breeder,32143,1,17,
11,Guinness,Queen,DRF015,Breeder,32304,1,19,
12,Hoodoo,Sub,GOF035,Helper,32246,1,23,
12,Hoodoo,Sub,GOF040,Helper,32218,1,27,
12,Hoodoo,Sub,GOF040,Helper,32236,1,30,
13,Angol,Queen,DVF047,Helper,33187,1,34,
13,Angol,Queen,DVF047,Helper,33347,1,39,
13,Angol,Queen,WAF002,Breeder,33141,1,42,
13,Angol,Queen,WAF002,Breeder,33346,1,32,
14,DevilsPeak,Sub,DVF048,Helper,33185,1,40,
14,DevilsPeak,Sub,DVF048,Helper,33348,1,33,
14,DevilsPeak,Sub,DVF061,Helper,33180,1,45,
14,DevilsPeak,Sub,DVF061,Helper,33353,1,31,
15,DjuDju,Sub,MIF012,Helper,33183,1,43,
15,DjuDju,Sub,MIF012,Helper,33351,1,36,
15,DjuDju,Sub,MIF016,Helper,33191,1,37,
15,DjuDju,Sub,MIF016,Helper,33339,1,46,
16,Stella,Queen,MIF008,Helper,33184,1,41,
16,Stella,Queen,MIF008,Helper,33345,1,44,
16,Stella,Queen,TSF048,Breeder,33145,1,38,
16,Stella,Queen,TSF048,Breeder,33350,1,35,
17,Leffe,Queen,ERF002,Helper,36771,1,74,
17,Leffe,Queen,ERF002,Helper,36984,1,80,
17,Leffe,Queen,KGF002,Breeder,36770,1,75,
17,Leffe,Queen,KGF002,Breeder,36981,1,71,
18,Bitburger,Queen,MBF004,Helper,35894,1,57,
18,Bitburger,Queen,DRF004,Breeder,35891,1,51,
18,Bitburger,Queen,DRF004,Breeder,36054,1,66,
19,Corona,Queen,ABF002,Helper,35909,1,47,
19,Corona,Queen,ABF002,Helper,35997,1,64,
19,Corona,Queen,GOF025,Breeder,35883,1,48,
19,Corona,Queen,GOF025,Breeder,36059,1,65,
20,GhostShip,Sub,MBF003,Helper,35892,1,61,
20,GhostShip,Sub,MBF006,Helper,35893,1,54,
21,Kasteel,Sub,ORF005,Helper,35931,1,59,
21,Kasteel,Sub,ORF018,Helper,35829,1,50,
21,Kasteel,Sub,ORF018,Helper,35920,1,49,
22,WicklowWolf,Queen,ORF017,Helper,35924,1,52,
22,WicklowWolf,Queen,VGF002,Breeder,35890,1,56,
22,WicklowWolf,Queen,VGF002,Breeder,36049,1,63,
23,Asahi,Sub,TIF025,Helper,36746,2,1,
23,Asahi,Sub,TIF025,Helper,36859,1,72,
23,Asahi,Sub,TIF039,Helper,36751,1,73,not exported. 36757 was exported instead and I had wrongly recorded ID in inventory. Extracted 36852 as replacement
23,Asahi,Sub,TIF039,Helper,36983,1,77,
24,Featherstone,Sub,TIF036,Helper,36750,1,68,
24,Featherstone,Sub,TIF036,Helper,36982,1,81,
24,Featherstone,Sub,TIF038,Helper,36755,1,76,
24,Featherstone,Sub,TIF038,Helper,36985,1,78,
25,Lion,Sub,BEF006,Helper,36777,1,79,
25,Lion,Sub,BEF006,Helper,36987,1,69,
25,Lion,Sub,BEF036,Helper,36782,1,67,
25,Lion,Sub,BEF036,Helper,36986,1,70,
