"Sampling_Cat","ExperimentalGroup","AnimalID","OriginalGroup","KingRemovalIsol_DayDiff","LastOrGroupPartIsol_DayDiff"
"Slow_None","WicklowWolf","VGF002","Orycterope",-49,-19
"Slow_Conc","Licher","VGF001","RuRu",-26,-26
"Rapid_PreFirst","Chouffe","WEF005","PlakaPlaka",-39,-26
"Rapid_PreFirst","Bitburger","DRF004","Marabou",-49,-35
"Slow_PostFirst","Tusker","COF014","Kori",-36,-37
"Slow_PreFirst","Guinness","DRF015","Roms",-64,-59
"Slow_PreFirst","Corbeau","ARF028","Shorny",-64,-61
"Slow_Conc","BlackLabel","Z3F043","The Maags",-77,-64
"Slow_Conc","Leffe","KGF002","Erotics",-78,-71
"Rapid_Conc","Angol","WAF002","DaVinci",-105,-82
"Rapid_Conc","Stella","TSF048","Milou",-105,-93
"Rapid_Conc","Corona","GOF025","Amobo",-50,-591
