"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Rapid_Conc",3,"BlueMoon","Sub","WAF045","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,32224,1,11,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF045","Helper","Evictee",3,NA,"PostPair10","PreEviction16",NA,32266,1,22,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF045","Helper","Evictee",5,NA,"PostEviction14",NA,NA,32290,1,8,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",1,-97,"PostPair10",NA,"PreEviction16",32230,1,12,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",1,-97,"PostPair10",NA,"PreEviction16",32230,1,18,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",1,-97,NA,"PostPair10",NA,32230,1,12,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",1,-97,NA,"PostPair10",NA,32230,1,18,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",2,-96,"PostPair10","PreEviction16","FirstConc",32253,1,20,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",3,-95,"PostPair10","PreEviction16","FirstConc",32265,1,13,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",5,-93,"PostEviction14","FirstConc",NA,32291,1,19,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",7,-91,"FirstConc",NA,NA,32324,1,27,100
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",10,-88,"FirstConc",NA,NA,32360,1,24,50
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",12,-86,"FirstConc",NA,NA,32386,1,25,50
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",15,-83,"FirstConc",NA,NA,32425,1,26,50
"Rapid_Conc",3,"BlueMoon","Sub","WAF041","Helper","Evictor",22,-76,"PostEviction14",NA,NA,32532,1,31,50
"Rapid_Conc",5,"Trolls","Sub","CUF012","Helper","Evictee",15,NA,"PostEviction14",NA,NA,31473,1,6,100
"Rapid_Conc",5,"Trolls","Sub","CUF031","Helper","Evictor",12,-85,"FirstConc",NA,NA,31434,1,5,50
"Rapid_Conc",5,"Trolls","Sub","CUF031","Helper","Evictor",15,-82,"PostEviction14","FirstConc",NA,31471,1,7,50
"Rapid_Conc",5,"Trolls","Sub","CUF031","Helper","Evictor",17,-80,"FirstConc",NA,NA,31497,1,3,50
"Rapid_Conc",8,"Delirium","Sub","PPF009","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,32225,1,14,100
"Rapid_Conc",8,"Delirium","Sub","PPF009","Helper","Evictee",2,NA,"PostEviction14",NA,NA,32249,1,10,100
"Rapid_Conc",8,"Delirium","Sub","PPF009","Helper","Evictee",15,NA,"PostEviction14",NA,NA,32422,1,28,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",1,-99,"PostPair10","PreEviction16","FirstConc",32226,1,9,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",2,-98,"PostEviction14","FirstConc",NA,32255,1,15,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",3,-97,"FirstConc",NA,NA,32269,1,17,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",5,-95,"FirstConc",NA,NA,32289,1,21,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",7,-93,"FirstConc",NA,NA,32315,1,16,100
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",10,-90,"FirstConc",NA,NA,32361,1,23,50
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",12,-88,"FirstConc",NA,NA,32387,1,29,50
"Rapid_Conc",8,"Delirium","Sub","PPF007","Helper","Evictor",15,-85,"PostEviction14","FirstConc","RA",32431,1,30,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF040","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,32714,1,32,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF040","Helper","Evictee",5,NA,"PostPair10","PreEviction16",NA,32772,1,37,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF040","Helper","Evictee",7,NA,"PostEviction14",NA,NA,32797,1,36,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF040","Helper","Evictee",19,NA,"PostEviction14",NA,NA,33012,1,41,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",1,-95,"PostPair10","PreEviction16","FirstConc",32719,1,39,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",3,-93,"PostPair10","PreEviction16","FirstConc",32742,1,35,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",5,-91,"PostPair10","PreEviction16","FirstConc",32761,1,34,100
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",7,-89,"PostEviction14","FirstConc",NA,32790,1,33,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",9,-87,"FirstConc",NA,NA,32811,1,38,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",11,-85,"FirstConc",NA,NA,32835,1,40,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",13,-83,"FirstConc",NA,NA,32867,1,44,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",15,-81,"FirstConc",NA,NA,32894,1,42,50
"Rapid_Conc",12,"Hoodoo","Sub","GOF035","Helper","Evictor",19,-77,"PostEviction14",NA,NA,32957,1,43,50
"Rapid_Conc",13,"Angol","Queen","DVF047","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,33760,1,49,100
"Rapid_Conc",13,"Angol","Queen","DVF047","Helper","Evictee",2,NA,"PostEviction14",NA,NA,33780,1,61,100
"Rapid_Conc",13,"Angol","Queen","DVF047","Helper","Evictee",20,NA,"PostEviction14",NA,NA,34026,2,4,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",1,-100,"PostPair10","PreEviction16","FirstConc",33759,1,60,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",2,-99,"PostEviction14","FirstConc",NA,33774,1,54,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",4,-97,"FirstConc",NA,NA,33805,1,47,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",6,-95,"FirstConc",NA,NA,33835,1,67,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",8,-93,"FirstConc",NA,NA,33869,2,8,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",10,-91,"FirstConc",NA,NA,33902,1,69,100
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",12,-89,"FirstConc",NA,NA,33924,2,7,50
"Rapid_Conc",13,"Angol","Queen","WAF002","Breeder","Evictor",20,-81,"PostEviction14","FirstConc",NA,34024,1,81,50
"Rapid_Conc",15,"DjuDju","Sub","MIF012","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,33761,1,62,100
"Rapid_Conc",15,"DjuDju","Sub","MIF012","Helper","Evictee",2,NA,"PostEviction14",NA,NA,33775,1,56,100
"Rapid_Conc",15,"DjuDju","Sub","MIF012","Helper","Evictee",20,NA,"PostEviction14",NA,NA,34027,1,79,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",1,-99,"PostPair10","PreEviction16","FirstConc",33763,1,45,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",2,-98,"PostEviction14","FirstConc",NA,33779,1,48,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",4,-96,"FirstConc",NA,NA,33809,1,57,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",6,-94,"FirstConc",NA,NA,33839,1,70,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",8,-92,"FirstConc",NA,NA,33868,1,72,100
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",10,-90,"FirstConc",NA,NA,33901,2,9,50
"Rapid_Conc",15,"DjuDju","Sub","MIF016","Helper","Evictor",12,-88,"FirstConc",NA,NA,33928,2,6,50
"Rapid_Conc",16,"Stella","Queen","MIF008","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,33765,1,65,100
"Rapid_Conc",16,"Stella","Queen","MIF008","Helper","Evictee",2,NA,"PostEviction14",NA,NA,33778,1,52,100
