"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",13,-124,"PreEviction16","RA",NA,31442,1,15,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",15,-122,"PreEviction16",NA,NA,31466,1,1,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",17,-120,"PreEviction16",NA,NA,31491,1,2,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",19,-118,"PreEviction16",NA,NA,31519,1,13,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",20,-117,"PreEviction16",NA,NA,31536,1,10,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",22,-115,"PostEviction14",NA,NA,31563,1,8,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",27,-110,"RA",NA,NA,31628,1,18,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",36,-101,"PostEviction14",NA,NA,31745,1,22,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",41,-96,"FirstConc","RA",NA,31801,1,25,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",48,-89,"FirstConc",NA,NA,31898,1,30,50
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF006","Helper","Evictor",57,-80,"FirstConc",NA,NA,32031,1,29,50
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",13,NA,"PreEviction16",NA,NA,31443,1,11,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",15,NA,"PreEviction16",NA,NA,31469,1,19,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",17,NA,"PreEviction16",NA,NA,31490,1,12,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",19,NA,"PreEviction16",NA,NA,31518,1,17,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",20,NA,"PreEviction16",NA,NA,31535,1,20,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",22,NA,"PostEviction14",NA,NA,31562,1,16,100
"Rapid_PreFirst",4,"DarlingBrew","Sub","RRF010","Helper","Evictee",36,NA,"PostEviction14",NA,NA,31746,1,26,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",1,-140,"PostPair10","PreEviction16",NA,32228,1,38,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",2,-139,"PostEviction14",NA,NA,32257,1,49,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",15,-126,"PostEviction14","RA",NA,32428,1,53,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",29,-112,"RA",NA,NA,32616,1,64,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",45,-96,"FirstConc","RA",NA,32814,1,77,100
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",53,-88,"FirstConc",NA,NA,32923,2,30,50
"Rapid_PreFirst",7,"Chouffe","Queen","PPF008","Helper","Evictor",60,-81,"FirstConc",NA,NA,33028,2,20,50
"Rapid_PreFirst",7,"Chouffe","Queen","WEF005","Breeder","Evictee",1,NA,"PostPair10","PreEviction16",NA,32220,1,42,100
"Rapid_PreFirst",7,"Chouffe","Queen","WEF005","Breeder","Evictee",2,NA,"PostEviction14",NA,NA,32247,1,52,100
"Rapid_PreFirst",7,"Chouffe","Queen","WEF005","Breeder","Evictee",15,NA,"PostEviction14",NA,NA,32423,1,55,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",1,-199,"PostPair10","PreEviction16",NA,32717,2,9,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",3,-197,"PostPair10","PreEviction16",NA,32743,1,69,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",5,-195,"PostEviction14",NA,NA,32760,2,14,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",13,-187,"RA",NA,NA,32864,2,31,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",19,-181,"PostEviction14",NA,NA,32958,2,24,100
"Rapid_PreFirst",10,"Firestone","Sub","SOF006","Helper","Evictor",34,-166,"RA",NA,NA,33186,2,37,100
