"Sampling_Cat","ExperimentalGroup","AnimalID","Treatment","Sex","BS_Original","EvictionDate","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","NextLitter_IndCount","NextParturition_ParturitionDayDiff","GestationStatus_Trimester","UrineDate","UrineNumber"
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-63,-91,-318,1,-447,"PreFirstConception","2022-03-04",31501
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-56,-84,-311,1,-440,"PreFirstConception","2022-03-11",31600
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-52,-80,-307,1,-436,"PreFirstConception","2022-03-15",31647
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-50,-78,-305,1,-434,"PreFirstConception","2022-03-17",31678
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-33,-61,-288,1,-417,"PreFirstConception","2022-04-03",31878
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",-8,-36,-263,1,-392,"PreFirstConception","2022-04-28",32233
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",1,-27,-254,1,-383,"PreFirstConception","2022-05-07",32344
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",4,-24,-251,1,-380,"PreFirstConception","2022-05-10",32383
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",7,-21,-248,1,-377,"PreFirstConception","2022-05-13",32429
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",9,-19,-246,1,-375,"PreFirstConception","2022-05-15",32459
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",11,-17,-244,1,-373,"PreFirstConception","2022-05-17",32485
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",14,-14,-241,1,-370,"PreFirstConception","2022-05-20",32521
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",16,-12,-239,1,-368,"PreFirstConception","2022-05-22",32556
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",19,-9,-236,1,-365,"PreFirstConception","2022-05-25",32589
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",22,-6,-233,1,-362,"PreFirstConception","2022-05-28",32632
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",25,-3,-230,1,-359,"PreFirstConception","2022-05-31",32670
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",27,-1,-228,1,-357,"PreFirstConception","2022-06-02",32692
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",29,1,-226,1,-355,"PreFirstConception","2022-06-04",32718
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",31,3,-224,1,-353,"PreFirstConception","2022-06-06",32744
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",33,5,-222,1,-351,"PreFirstConception","2022-06-08",32771
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",35,7,-220,1,-349,"PreFirstConception","2022-06-10",32792
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",37,9,-218,1,-347,"PreFirstConception","2022-06-12",32808
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",39,11,-216,1,-345,"PreFirstConception","2022-06-14",32843
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",41,13,-214,1,-343,"PreFirstConception","2022-06-16",32866
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",43,15,-212,1,-341,"PreFirstConception","2022-06-18",32896
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",45,17,-210,1,-339,"PreFirstConception","2022-06-20",32928
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",47,19,-208,1,-337,"PreFirstConception","2022-06-22",32955
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",49,21,-206,1,-335,"PreFirstConception","2022-06-24",32986
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",55,27,-200,1,-329,"PreFirstConception","2022-06-30",33074
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",62,34,-193,1,-322,"PreFirstConception","2022-07-07",33177
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",69,41,-186,1,-315,"PreFirstConception","2022-07-14",33283
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",69,41,-186,1,-315,"PreFirstConception","2022-07-14",33288
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",76,48,-179,1,-308,"PreFirstConception","2022-07-21",33394
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",83,55,-172,1,-301,"PreFirstConception","2022-07-28",33489
"Slow_PreFirst","Corbeau","SOF001","Queen",FALSE,"Helper","2023-01-16",90,62,-165,1,-294,"PreFirstConception","2022-08-04",33590
