"UrineNumber","SampleReason","Date","BoxID","BoxPosition","Comments","Sampling_Cat","ExperimentalGroup","ExperimentalUnit","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineKingRemoval_DayDiff","UrineLastParturitionOirginalGroup_DayDiff","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount_Total","NextLitter_IndCount_Colony","UrineParturition_DayDiff","GestationStatus_Trimester","UrineDate"
35997,"PreIsol1",2024-01-24,92,25,"","Rapid_Conc","Corona",19,"ABF002","Queen","F","Helper","Evictor",2023-03-03,NA,586,-5,-32,-33,-49,1,1,-134,"PreFirstConception",2023-01-29
32309,"PreIsol1",2024-01-24,79,33,"","Slow_PreFirst","Corbeau",9,"ARF028","Queen","F","Breeder","Evictee",2023-01-16,NA,59,-2,-30,-257,-43,7,1,-128,"NotPregnant",2022-05-04
36987,"PreIsol1",2024-01-24,95,14,"","NoEviction","Lion",25,"BEF006","Sub","F","Helper","InGroup",NA,NA,631,0,-33,NA,-44,1,1,-129,"PreFirstConception",2023-04-07
36986,"PreIsol1",2024-01-24,95,15,"","NoEviction","Lion",25,"BEF036","Sub","F","Helper","InGroup",NA,NA,631,0,-33,NA,-129,1,1,-214,"PreFirstConception",2023-04-07
30975,"PreIsol1",NA,NA,NA,NA,"NoEviction","Tusker",2,"COF014","Queen","F","Breeder","InGroup",NA,NA,37,0,-28,NA,-31,5,1,-116,"NotPregnant",2022-01-18
30981,"PreIsol1",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF012","Sub","F","Helper","Evictee",2022-02-16,NA,323,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-01-18
31017,"PreIsol1",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF031","Sub","F","Helper","Evictor",2022-02-16,NA,323,0,-28,-29,-40,1,1,-125,"PreFirstConception",2022-01-18
36054,"PreIsol1",2024-01-24,93,3,"","Rapid_PreFirst","Bitburger",18,"DRF004","Queen","F","Breeder","Evictee",2023-03-04,NA,34,-1,-28,-30,-128,9,1,-213,"NotPregnant",2023-02-02
32304,"PreIsol1",2024-01-24,79,27,"","Slow_PreFirst","Guinness",11,"DRF015","Queen","F","Breeder","Evictee",2022-10-14,NA,57,-2,-30,-163,-66,10,1,-151,"NotPregnant",2022-05-04
33347,"PreIsol1",2024-01-24,84,36,"","Rapid_Conc","Angol",13,"DVF047","Queen","F","Helper","Evictee",2022-08-16,NA,82,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-07-18
33348,"PreIsol1",2024-01-24,84,15,"","NoEviction","DevilsPeak",14,"DVF048","Sub","F","Helper","InGroup",NA,NA,82,0,-28,NA,-61,1,1,-146,"PreFirstConception",2022-07-18
33353,"PreIsol1",2024-01-24,84,12,"","NoEviction","DevilsPeak",14,"DVF061","Sub","F","Helper","InGroup",NA,NA,82,0,-28,NA,-384,1,1,-469,"PreFirstConception",2022-07-18
36984,"PreIsol1",2024-01-24,95,81,"","Slow_Conc","Leffe",17,"ERF002","Queen","F","Helper","Evictor",2023-08-12,NA,71,0,-33,-127,-137,1,1,-222,"PreFirstConception",2023-04-07
36059,"PreIsol1",2024-01-24,92,61,"","Rapid_Conc","Corona",19,"GOF025","Queen","F","Breeder","Evictee",2023-03-03,NA,590,-1,-28,-29,NA,NA,NA,NA,"NotPregnant",2023-02-02
32246,"PreIsol1",2024-01-24,79,59,"","Rapid_Conc","Hoodoo",12,"GOF035","Sub","F","Helper","Evictor",2022-06-08,NA,413,-8,-36,-41,-47,1,1,-132,"PreFirstConception",2022-04-28
32236,"PreIsol1",2024-01-24,80,11,"","Rapid_Conc","Hoodoo",12,"GOF040","Sub","F","Helper","Evictee",2022-06-08,NA,413,-8,-36,-41,NA,NA,NA,NA,"NotPregnant",2022-04-28
30978,"PreIsol1",NA,NA,NA,NA,"NoEviction","Tusker",2,"KBF006","Queen","F","Helper","InGroup",NA,NA,37,0,-28,NA,-40,1,1,-125,"PreFirstConception",2022-01-18
36981,"PreIsol1",2024-01-24,95,22,"","Slow_Conc","Leffe",17,"KGF002","Queen","F","Breeder","Evictee",2023-08-12,NA,71,0,-33,-127,-39,9,1,-124,"NotPregnant",2023-04-07
35892,"PreIsol1",2024-01-24,91,68,"","Rapid_Conc","GhostShip",20,"MBF003","Sub","F","Helper","Evictor",2023-03-10,NA,22,-13,-40,-48,-50,1,1,-135,"PreFirstConception",2023-01-21
35894,"PreIsol1",2024-01-24,91,62,"","Rapid_PreFirst","Bitburger",18,"MBF004","Queen","F","Helper","Evictor",2023-03-04,NA,22,-13,-40,-42,-89,1,1,-174,"PreFirstConception",2023-01-21
35893,"PreIsol1",2024-01-24,91,46,"","Rapid_Conc","GhostShip",20,"MBF006","Sub","F","Helper","Evictee",2023-03-10,NA,22,-13,-40,-48,NA,NA,NA,NA,"NotPregnant",2023-01-21
33345,"PreIsol1",2024-01-24,84,68,"","Rapid_Conc","Stella",16,"MIF008","Queen","F","Helper","Evictee",2022-08-16,NA,93,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-07-18
33351,"PreIsol1",2024-01-24,84,21,"","Rapid_Conc","DjuDju",15,"MIF012","Sub","F","Helper","Evictee",2022-08-16,NA,93,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-07-18
33339,"PreIsol1",2024-01-24,85,7,"","Rapid_Conc","DjuDju",15,"MIF016","Sub","F","Helper","Evictor",2022-08-16,NA,93,0,-28,-29,-43,1,1,-128,"PreFirstConception",2022-07-18
35931,"PreIsol1",2024-01-24,91,67,"","Rapid_Conc","Kasteel",21,"ORF005","Sub","F","Helper","Evictor",2023-03-08,NA,8,-11,-38,-44,-55,1,1,-140,"PreFirstConception",2023-01-23
35924,"PreIsol1",2024-01-24,91,39,"","Slow_None","WicklowWolf",22,"ORF017","Queen","F","Helper","Evictor",2023-09-28,NA,8,-11,-38,-248,NA,NA,NA,NA,"NotPregnant",2023-01-23
35920,"PreIsol1",2024-01-24,91,25,"","Rapid_Conc","Kasteel",21,"ORF018","Sub","F","Helper","Evictee",2023-03-08,NA,8,-11,-38,-44,NA,NA,NA,NA,"NotPregnant",2023-01-23
31847,"PreIsol1",2024-01-24,77,7,"","Rapid_Conc","Delirium",8,"PPF007","Sub","F","Helper","Evictor",2022-04-29,NA,26,0,-28,-29,-43,1,1,-128,"PreFirstConception",2022-03-31
31838,"PreIsol1",2024-01-24,77,25,"","Rapid_PreFirst","Chouffe",7,"PPF008","Queen","F","Helper","Evictor",2022-04-29,NA,26,0,-28,-29,-84,1,1,-169,"PreFirstConception",2022-03-31
31837,"PreIsol1",2024-01-24,77,78,"","Rapid_Conc","Delirium",8,"PPF009","Sub","F","Helper","Evictee",2022-04-29,NA,26,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-03-31
