"ExperimentalGroup","Sampling_Cat"
"Angol","Rapid_Conc"
"Asahi","Rapid_Conc"
"BlueMoon","Rapid_Conc"
"Corona","Rapid_Conc"
"Delirium","Rapid_Conc"
"DjuDju","Rapid_Conc"
"Featherstone","Rapid_Conc"
"GhostShip","Rapid_Conc"
"Hoodoo","Rapid_Conc"
"Kasteel","Rapid_Conc"
"Stella","Rapid_Conc"
"Trolls","Rapid_Conc"
"Bitburger","Rapid_PreFirst"
"Chouffe","Rapid_PreFirst"
"DarlingBrew","Rapid_PreFirst"
"Firestone","Rapid_PreFirst"
"BlackLabel","Slow_Conc"
"Leffe","Slow_Conc"
"Licher","Slow_Conc"
"Corbeau","Slow_PreFirst"
"Guinness","Slow_PreFirst"
"Tusker","Slow_None"
"WicklowWolf","Slow_None"
"DevilsPeak","NoEviction"
"Lion","NoEviction"
