"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",13,-102,"RA",NA,NA,31440,1,5,100
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",15,-100,"FirstConc",NA,NA,31468,1,4,100
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",17,-98,"FirstConc",NA,NA,31492,1,6,100
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",19,-96,"FirstConc",NA,NA,31521,1,3,100
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",20,-95,"FirstConc",NA,NA,31538,1,7,100
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",27,-88,"FirstConc",NA,NA,31630,1,9,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",34,-81,"FirstConc",NA,NA,31729,1,23,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",57,-58,"PreEviction16",NA,NA,32035,1,28,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",64,-51,"PreEviction16",NA,NA,32108,1,32,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",70,-45,"PreEviction16",NA,NA,32193,1,33,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",74,-41,"PostEviction14",NA,NA,32248,1,36,50
"Slow_Conc",1,"Licher","Queen","VGF001","Breeder","Evictee",87,-28,"PostEviction14",NA,NA,32437,1,54,50
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",1,-174,"PostPair10",NA,NA,32227,1,41,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",2,-173,"PostPair10",NA,NA,32252,1,50,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",3,-172,"PostPair10",NA,NA,32260,1,47,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",5,-170,"PostPair10",NA,NA,32286,1,37,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",7,-168,"PostPair10",NA,NA,32312,1,34,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",10,-165,"PostPair10",NA,NA,32356,1,57,100
"Slow_Conc",6,"BlackLabel","Queen","Z3F043","Breeder","Evictee",15,-160,"RA",NA,NA,32421,1,58,100
