"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",1,-97,"PostPair10","FirstConc",NA,32724,1,78,100
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",3,-95,"PostPair10","FirstConc",NA,32746,2,11,100
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",5,-93,"PostPair10","FirstConc",NA,32769,2,15,100
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",7,-91,"PostPair10","FirstConc",NA,32795,1,70,100
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",9,-89,"PostPair10","FirstConc",NA,32815,2,7,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",11,-87,"FirstConc",NA,NA,32842,1,76,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",13,-85,"FirstConc",NA,NA,32865,2,16,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",15,-83,"FirstConc",NA,NA,32900,2,19,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",17,-81,"FirstConc",NA,NA,32936,2,23,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",211,-16,"PreEviction16",NA,NA,35609,3,15,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",218,-9,"PreEviction16",NA,NA,35678,3,14,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",225,-2,"PreEviction16",NA,NA,35794,3,20,50
"Slow_PreFirst",9,"Corbeau","Queen","ARF028","Breeder","Evictee",228,NA,"PostEviction14",NA,NA,35840,3,13,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",1,-355,"PostPair10",NA,NA,32718,2,13,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",3,-353,"PostPair10",NA,NA,32744,1,68,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",5,-351,"PostPair10",NA,NA,32771,1,74,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",7,-349,"PostPair10",NA,NA,32792,2,6,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",9,-347,"PostPair10",NA,NA,32808,2,1,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",13,-343,"RA",NA,NA,32866,2,26,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",27,-329,"RA",NA,NA,33074,2,27,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",41,-315,"RA",NA,NA,33288,2,40,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",55,-301,"RA",NA,NA,33489,2,47,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",71,-285,"RA",NA,NA,33715,2,49,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",83,-273,"RA",NA,NA,33905,2,59,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",95,-261,"RA",NA,NA,34054,2,53,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",115,-241,"RA",NA,NA,34341,2,74,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",129,-227,"RA",NA,NA,34550,3,7,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",143,-213,"RA",NA,NA,34751,3,4,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",157,-199,"RA",NA,NA,34925,3,8,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",172,-184,"RA",NA,NA,35109,3,11,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",184,-172,"RA",NA,NA,35265,3,10,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",230,-126,"PostEviction14","RA",NA,35858,3,16,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",238,-118,"RA",NA,NA,35988,3,17,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",242,-114,"PostEviction14",NA,NA,36029,3,18,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",251,-105,"RA",NA,NA,36156,3,19,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",258,-98,"FirstConc",NA,NA,36261,3,21,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",265,-91,"FirstConc",NA,NA,36361,3,23,100
"Slow_PreFirst",9,"Corbeau","Queen","SOF001","Helper","Evictor",272,-84,"FirstConc",NA,NA,36462,3,26,50
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",1,-120,"PostPair10",NA,NA,32716,2,8,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",3,-118,"PostPair10",NA,NA,32741,1,71,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",5,-116,"PostPair10",NA,NA,32765,1,79,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",7,-114,"PostPair10",NA,NA,32789,2,3,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",9,-112,"PostPair10",NA,NA,32810,1,75,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",13,-108,"RA",NA,NA,32863,2,17,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",21,-100,"FirstConc",NA,NA,32981,2,22,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",27,-94,"FirstConc","RA",NA,33077,2,32,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",34,-87,"FirstConc",NA,NA,33182,2,38,50
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",41,-80,"FirstConc",NA,NA,33281,2,41,50
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",118,-3,"PreEviction16",NA,NA,34385,2,65,50
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",123,NA,"PreEviction16",NA,NA,34459,2,63,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",128,NA,"PreEviction16",NA,NA,34538,2,69,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",132,NA,"PreEviction16",NA,NA,34594,3,6,100
"Slow_PreFirst",11,"Guinness","Queen","DRF015","Breeder","Evictee",134,NA,"PostEviction14",NA,NA,34630,3,3,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",1,-339,"PostPair10",NA,NA,32715,2,4,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",3,-337,"PostPair10",NA,NA,32740,1,72,100
